client_id,account_id,disp_id,classic,gold,junior
138,115,138,1,0,0
1380,1147,1380,1,0,0
1382,1149,1382,0,0,1
1384,1151,1384,1,0,0
1388,1154,1388,0,1,0
1390,1156,1390,0,0,1
1396,1160,1396,1,0,0
13968,11359,13660,1,0,0
1418,1178,1418,1,0,0
1438,1192,1438,1,0,0
1440,1194,1440,0,0,1
1445,1197,1445,1,0,0
1452,1203,1452,0,1,0
1453,1204,1453,0,1,0
1459,1208,1459,1,0,0
146,122,146,1,0,0
1461,1210,1461,1,0,0
1473,1220,1473,1,0,0
1478,1225,1478,1,0,0
1480,1227,1480,1,0,0
1483,1230,1483,1,0,0
1492,1237,1492,1,0,0
1500,1243,1500,0,0,1
1512,1253,1512,1,0,0
1517,1257,1517,1,0,0
1522,1261,1522,1,0,0
1525,1264,1525,1,0,0
1529,1267,1529,1,0,0
1536,1273,1536,0,1,0
1578,1304,1578,1,0,0
1579,1305,1579,0,1,0
158,132,158,1,0,0
1583,1309,1583,1,0,0
1607,1328,1607,1,0,0
161,134,161,1,0,0
1610,1330,1610,1,0,0
1629,1345,1629,0,1,0
1647,1360,1647,0,0,1
1668,1378,1668,0,1,0
1669,1379,1669,1,0,0
167,139,167,0,0,1
1680,1388,1680,1,0,0
1691,1397,1691,0,0,1
1707,1408,1707,0,1,0
1718,1417,1718,0,1,0
1736,1431,1736,0,0,1
174,144,174,0,0,1
1754,1446,1754,0,0,1
1758,1449,1758,1,0,0
1759,1450,1759,1,0,0
1762,1453,1762,1,0,0
1765,1456,1765,1,0,0
1777,1466,1777,0,1,0
1779,1467,1779,1,0,0
1791,1478,1791,1,0,0
1793,1480,1793,1,0,0
1795,1482,1795,1,0,0
1800,1486,1800,1,0,0
1807,1491,1807,1,0,0
1811,1494,1811,0,1,0
1819,1500,1819,0,0,1
1826,1507,1826,1,0,0
1831,1511,1831,0,0,1
1833,1513,1833,1,0,0
1836,1515,1836,1,0,0
1842,1519,1842,0,1,0
1850,1526,1850,1,0,0
1864,1538,1864,1,0,0
1876,1547,1876,0,1,0
1883,1552,1883,1,0,0
1885,1554,1885,1,0,0
1886,1555,1886,1,0,0
1890,1559,1890,1,0,0
1899,1567,1899,1,0,0
19,14,19,1,0,0
1900,1568,1900,1,0,0
1912,1579,1912,1,0,0
1913,1580,1913,1,0,0
1914,1581,1914,1,0,0
192,159,192,1,0,0
1930,1592,1930,0,1,0
1946,1605,1946,1,0,0
1947,1606,1947,0,0,1
1971,1626,1971,1,0,0
1980,1634,1980,1,0,0
1999,1649,1999,0,0,1
2005,1654,2005,0,0,1
2013,1660,2013,1,0,0
2015,1662,2015,1,0,0
202,167,202,1,0,0
2038,1678,2038,0,0,1
2058,1695,2058,0,1,0
2063,1698,2063,1,0,0
2065,1700,2065,0,0,1
2102,1732,2102,1,0,0
2104,1734,2104,1,0,0
2117,1745,2117,1,0,0
2121,1749,2121,0,0,1
2122,1750,2122,0,1,0
2124,1752,2124,1,0,0
2125,1753,2125,0,1,0
2126,1754,2126,1,0,0
2128,1756,2128,1,0,0
2133,1760,2133,1,0,0
2137,1763,2137,1,0,0
2138,1764,2138,0,0,1
2141,1766,2141,1,0,0
2146,1770,2146,1,0,0
2154,1777,2154,1,0,0
2156,1779,2156,0,1,0
2157,1780,2157,1,0,0
2168,1789,2168,1,0,0
2175,1795,2175,1,0,0
2177,1797,2177,1,0,0
2184,1803,2184,1,0,0
2203,1817,2203,1,0,0
221,181,221,0,0,1
2214,1826,2214,1,0,0
2226,1835,2226,1,0,0
2232,1841,2232,1,0,0
2235,1843,2235,1,0,0
225,185,225,1,0,0
2259,1862,2259,1,0,0
2265,1867,2265,0,1,0
2267,1869,2267,1,0,0
2268,1870,2268,1,0,0
2277,1876,2277,0,0,1
2287,1885,2287,0,0,1
2299,1894,2299,1,0,0
2308,1900,2308,1,0,0
231,191,231,1,0,0
2312,1903,2312,1,0,0
2320,1910,2320,0,1,0
2324,1914,2324,0,0,1
2329,1919,2329,1,0,0
2332,1922,2332,1,0,0
2335,1924,2335,1,0,0
2343,1929,2343,1,0,0
236,195,236,1,0,0
2361,1943,2361,1,0,0
2363,1944,2363,1,0,0
2374,1953,2374,1,0,0
238,196,238,1,0,0
2395,1970,2395,1,0,0
2401,1976,2401,1,0,0
242,200,242,1,0,0
2425,1996,2425,0,0,1
2428,1998,2428,1,0,0
2429,1999,2429,1,0,0
2430,2000,2430,1,0,0
2431,2001,2431,1,0,0
2434,2004,2434,1,0,0
2440,2009,2440,1,0,0
2445,2013,2445,0,1,0
2469,2034,2469,1,0,0
2475,2039,2475,0,0,1
2476,2040,2476,1,0,0
2478,2041,2478,1,0,0
2481,2044,2481,1,0,0
2488,2050,2488,0,0,1
2489,2051,2489,0,1,0
2490,2052,2490,1,0,0
2493,2054,2493,1,0,0
2496,2057,2496,1,0,0
2498,2059,2498,0,0,1
2501,2062,2501,1,0,0
2502,2063,2502,1,0,0
2508,2069,2508,1,0,0
2513,2072,2513,1,0,0
2527,2084,2527,1,0,0
2529,2086,2529,1,0,0
2532,2089,2532,1,0,0
2536,2093,2536,1,0,0
2538,2095,2538,0,0,1
254,211,254,1,0,0
2540,2097,2540,0,0,1
2542,2099,2542,1,0,0
2548,2104,2548,1,0,0
255,212,255,1,0,0
2555,2111,2555,1,0,0
256,213,256,1,0,0
2560,2116,2560,1,0,0
2562,2118,2562,1,0,0
2569,2124,2569,1,0,0
2572,2126,2572,1,0,0
2585,2138,2585,1,0,0
2592,2143,2592,0,0,1
2609,2156,2609,1,0,0
264,219,264,0,0,1
2644,2184,2644,1,0,0
2657,2195,2657,1,0,0
2659,2197,2659,1,0,0
2662,2200,2662,0,0,1
267,222,267,1,0,0
268,223,268,0,0,1
2686,2218,2686,1,0,0
2709,2237,2709,1,0,0
2713,2240,2713,1,0,0
2715,2242,2715,0,1,0
272,226,272,1,0,0
2724,2250,2724,1,0,0
273,227,273,1,0,0
2739,2262,2739,1,0,0
2740,2263,2740,1,0,0
2759,2279,2759,1,0,0
2779,2296,2779,1,0,0
2782,2298,2782,1,0,0
2785,2301,2785,1,0,0
2796,2310,2796,1,0,0
280,232,280,1,0,0
2808,2321,2808,1,0,0
2820,2332,2820,0,1,0
2841,2350,2841,1,0,0
2864,2370,2864,1,0,0
2888,2392,2888,0,0,1
2910,2409,2910,1,0,0
2911,2410,2911,0,1,0
2921,2418,2921,1,0,0
2924,2421,2924,1,0,0
2929,2424,2929,1,0,0
295,244,295,1,0,0
2951,2444,2951,0,1,0
2958,2450,2958,0,1,0
2971,2460,2971,1,0,0
2977,2466,2977,0,1,0
2978,2467,2978,1,0,0
2982,2471,2982,1,0,0
2984,2472,2984,1,0,0
2995,2480,2995,1,0,0
3019,2501,3019,1,0,0
3023,2504,3023,1,0,0
3026,2506,3026,1,0,0
3036,2514,3036,1,0,0
3037,2515,3037,1,0,0
305,253,305,1,0,0
3056,2532,3056,1,0,0
3063,2537,3063,1,0,0
3075,2547,3075,0,1,0
3082,2552,3082,0,0,1
3085,2555,3085,1,0,0
309,256,309,1,0,0
3092,2561,3092,1,0,0
3102,2571,3102,0,0,1
3104,2573,3104,0,0,1
3116,2582,3116,1,0,0
3128,2592,3128,0,1,0
3130,2594,3130,1,0,0
3134,2598,3134,0,1,0
3135,2599,3135,1,0,0
3136,2600,3136,0,1,0
3151,2611,3151,1,0,0
3166,2624,3166,1,0,0
3167,2625,3167,1,0,0
3173,2629,3173,1,0,0
3181,2635,3181,1,0,0
3183,2637,3183,0,0,1
3184,2638,3184,1,0,0
3187,2641,3187,1,0,0
3192,2646,3192,1,0,0
3197,2651,3197,1,0,0
3201,2653,3201,1,0,0
3225,2670,3225,1,0,0
3233,2678,3233,0,0,1
3236,2681,3236,0,1,0
3249,2693,3249,1,0,0
3253,2695,3253,0,1,0
3256,2698,3256,1,0,0
3257,2699,3257,0,0,1
326,270,326,0,1,0
3267,2707,3267,1,0,0
3268,2708,3268,1,0,0
3279,2716,3279,1,0,0
3297,2731,3297,1,0,0
3308,2741,3308,1,0,0
3310,2742,3310,1,0,0
3319,2749,3319,0,0,1
333,276,333,1,0,0
3337,2764,3337,1,0,0
3339,2766,3339,1,0,0
334,277,334,1,0,0
335,278,335,1,0,0
3356,2779,3356,1,0,0
3357,2780,3357,1,0,0
3378,2796,3378,0,1,0
3384,2800,3384,1,0,0
3387,2803,3387,1,0,0
339,281,339,1,0,0
3395,2811,3395,1,0,0
3405,2818,3405,1,0,0
3414,2824,3414,0,1,0
3415,2825,3415,1,0,0
3425,2834,3425,1,0,0
3427,2836,3427,0,0,1
3448,2854,3448,0,1,0
3458,2862,3458,1,0,0
3465,2867,3465,0,1,0
347,286,347,1,0,0
3477,2877,3477,1,0,0
3501,2897,3501,1,0,0
3504,2899,3504,1,0,0
3517,2910,3517,1,0,0
3519,2912,3519,1,0,0
3522,2915,3522,1,0,0
3535,2927,3535,1,0,0
3544,2934,3544,1,0,0
3567,2953,3567,1,0,0
3568,2954,3568,1,0,0
3577,2963,3577,1,0,0
358,294,358,1,0,0
3581,2966,3581,0,1,0
3583,2968,3583,1,0,0
3589,2972,3589,1,0,0
3590,2973,3590,1,0,0
3601,2982,3601,0,1,0
3606,2986,3606,1,0,0
3615,2993,3615,1,0,0
3616,2994,3616,1,0,0
3620,2998,3620,1,0,0
3627,3003,3627,0,0,1
365,300,365,1,0,0
3667,3035,3667,0,1,0
3671,3038,3671,1,0,0
3687,3050,3687,1,0,0
3689,3051,3689,0,0,1
3699,3059,3699,1,0,0
370,303,370,1,0,0
3721,3077,3721,1,0,0
3733,3086,3733,1,0,0
3735,3088,3735,1,0,0
374,307,374,1,0,0
3751,3102,3751,1,0,0
3753,3103,3753,0,1,0
3756,3106,3756,1,0,0
3763,3112,3763,0,0,1
3765,3113,3765,1,0,0
3766,3114,3766,0,0,1
3769,3116,3769,1,0,0
3782,3127,3782,0,0,1
3787,3131,3787,0,0,1
3794,3138,3794,0,0,1
3811,3151,3811,1,0,0
3813,3153,3813,0,0,1
3821,3160,3821,1,0,0
3824,3163,3824,0,1,0
3829,3166,3829,1,0,0
3830,3167,3830,1,0,0
3846,3181,3846,0,0,1
3858,3192,3858,1,0,0
3874,3204,3874,1,0,0
3883,3210,3883,1,0,0
3885,3212,3885,1,0,0
3890,3216,3890,1,0,0
3893,3219,3893,1,0,0
3894,3220,3894,1,0,0
3896,3221,3896,1,0,0
3913,3235,3913,1,0,0
3938,3255,3938,0,0,1
3943,3259,3943,1,0,0
3944,3260,3944,0,1,0
3959,3270,3959,1,0,0
3970,3279,3970,0,0,1
3985,3294,3985,0,0,1
3987,3296,3987,1,0,0
3992,3300,3992,1,0,0
3994,3302,3994,1,0,0
4007,3315,4007,1,0,0
4018,3324,4018,0,0,1
4019,3325,4019,1,0,0
402,329,402,1,0,0
4078,3372,4078,1,0,0
4083,3377,4083,1,0,0
4091,3383,4091,0,0,1
4094,3386,4094,0,0,1
41,33,41,0,1,0
4100,3391,4100,0,1,0
4112,3401,4112,1,0,0
4115,3404,4115,1,0,0
4116,3405,4116,1,0,0
414,339,414,1,0,0
4157,3437,4157,1,0,0
4165,3444,4165,1,0,0
4166,3445,4166,1,0,0
4167,3446,4167,1,0,0
4171,3449,4171,0,0,1
4190,3467,4190,1,0,0
4194,3471,4194,1,0,0
42,34,42,1,0,0
4201,3476,4201,0,0,1
4211,3484,4211,1,0,0
4212,3485,4212,1,0,0
4230,3502,4230,1,0,0
4235,3507,4235,1,0,0
4246,3516,4246,0,0,1
4251,3521,4251,1,0,0
4258,3527,4258,1,0,0
4265,3534,4265,0,0,1
4270,3538,4270,1,0,0
429,351,429,0,0,1
4293,3558,4293,1,0,0
4295,3559,4295,1,0,0
4316,3578,4316,1,0,0
4318,3580,4318,1,0,0
4333,3591,4333,1,0,0
434,356,434,1,0,0
4340,3597,4340,1,0,0
4341,3598,4341,1,0,0
4343,3600,4343,1,0,0
4345,3602,4345,1,0,0
4349,3606,4349,1,0,0
4353,3609,4353,0,0,1
4360,3614,4360,1,0,0
4376,3628,4376,1,0,0
4380,3631,4380,1,0,0
439,361,439,1,0,0
441,363,441,1,0,0
4417,3664,4417,1,0,0
4426,3672,4426,1,0,0
4429,3675,4429,1,0,0
4437,3681,4437,1,0,0
4457,3696,4457,1,0,0
4467,3705,4467,1,0,0
447,367,447,1,0,0
4471,3708,4471,1,0,0
4472,3709,4472,1,0,0
4473,3710,4473,1,0,0
4479,3714,4479,1,0,0
4492,3724,4492,1,0,0
4493,3725,4493,1,0,0
4495,3727,4495,0,0,1
4504,3733,4504,1,0,0
4507,3735,4507,1,0,0
451,371,451,0,0,1
4516,3743,4516,1,0,0
4518,3745,4518,1,0,0
4522,3749,4522,0,1,0
453,373,453,1,0,0
4533,3757,4533,0,0,1
4534,3758,4534,1,0,0
4543,3767,4543,1,0,0
4553,3776,4553,0,1,0
4555,3778,4555,1,0,0
4559,3781,4559,0,1,0
4560,3782,4560,1,0,0
4568,3788,4568,0,0,1
457,377,457,1,0,0
4587,3806,4587,0,0,1
4588,3807,4588,0,0,1
4592,3811,4592,1,0,0
4627,3839,4627,1,0,0
4638,3847,4638,1,0,0
4639,3848,4639,0,0,1
464,384,464,1,0,0
4651,3858,4651,0,0,1
4654,3861,4654,1,0,0
466,386,466,1,0,0
4660,3866,4660,1,0,0
4663,3869,4663,1,0,0
4674,3877,4674,0,0,1
468,387,468,1,0,0
4680,3883,4680,0,0,1
4684,3886,4684,1,0,0
469,388,469,1,0,0
4699,3897,4699,1,0,0
4701,3899,4701,0,1,0
471,390,471,1,0,0
4715,3909,4715,0,0,1
4721,3915,4721,1,0,0
4723,3917,4723,1,0,0
4725,3919,4725,1,0,0
473,392,473,1,0,0
474,393,474,1,0,0
4740,3931,4740,0,0,1
4749,3938,4749,1,0,0
4763,3948,4763,1,0,0
4764,3949,4764,0,0,1
4765,3950,4765,1,0,0
4772,3956,4772,1,0,0
4789,3970,4789,1,0,0
4791,3972,4791,1,0,0
4821,3999,4821,1,0,0
4823,4000,4823,0,0,1
483,399,483,1,0,0
4832,4009,4832,1,0,0
4833,4010,4833,1,0,0
4862,4034,4862,0,1,0
4863,4035,4863,1,0,0
487,403,487,1,0,0
489,404,489,1,0,0
4901,4066,4901,1,0,0
4923,4086,4923,1,0,0
4929,4092,4929,1,0,0
493,408,493,1,0,0
4937,4099,4937,1,0,0
4941,4102,4941,0,0,1
4944,4105,4944,0,0,1
496,411,496,1,0,0
497,412,497,1,0,0
4974,4131,4974,1,0,0
4976,4132,4976,0,0,1
5002,4150,5002,1,0,0
5012,4158,5012,1,0,0
5013,4159,5013,0,0,1
5016,4161,5016,1,0,0
503,417,503,1,0,0
504,418,504,0,0,1
508,422,508,1,0,0
51,43,51,0,0,1
510,424,510,1,0,0
5117,4245,5117,0,0,1
5126,4253,5126,1,0,0
5128,4255,5128,0,1,0
513,427,513,1,0,0
5132,4258,5132,1,0,0
5159,4283,5159,1,0,0
5175,4296,5175,1,0,0
519,431,519,0,0,1
5200,4318,5200,1,0,0
5204,4321,5204,1,0,0
5223,4336,5223,1,0,0
5224,4337,5224,1,0,0
5232,4342,5232,1,0,0
5233,4343,5233,1,0,0
5243,4352,5243,1,0,0
5245,4354,5245,1,0,0
5249,4358,5249,1,0,0
5263,4368,5263,1,0,0
5275,4377,5275,1,0,0
531,441,531,0,0,1
5323,4416,5323,0,0,1
5333,4423,5333,1,0,0
5366,4448,5366,1,0,0
537,446,537,1,0,0
5376,4456,5376,1,0,0
5461,4527,5461,1,0,0
5468,4533,5468,1,0,0
5521,4580,5521,1,0,0
5526,4585,5526,1,0,0
5563,4616,5563,1,0,0
56,48,56,1,0,0
562,468,562,0,1,0
566,471,566,1,0,0
5727,4746,5727,1,0,0
575,478,575,1,0,0
584,486,584,0,0,1
5873,4863,5873,0,0,1
588,489,588,1,0,0
5911,4894,5911,1,0,0
592,493,592,1,0,0
593,494,593,1,0,0
597,497,597,1,0,0
60,51,60,0,0,1
6039,4999,6039,1,0,0
605,503,605,1,0,0
608,506,608,1,0,0
615,512,615,1,0,0
6178,5120,6178,1,0,0
6196,5133,6196,1,0,0
6255,5180,6255,1,0,0
626,521,626,0,0,1
6275,5196,6275,1,0,0
629,523,629,0,0,1
6299,5213,6299,1,0,0
6301,5215,6301,1,0,0
638,530,638,1,0,0
646,537,646,1,0,0
6468,5357,6468,1,0,0
649,539,649,0,0,1
652,541,652,1,0,0
6567,5442,6567,0,0,1
662,549,662,1,0,0
6644,5505,6644,1,0,0
666,553,666,0,0,1
6764,5602,6764,1,0,0
6789,5622,6789,0,0,1
679,566,679,1,0,0
688,573,688,1,0,0
6906,5708,6906,1,0,0
694,577,694,0,1,0
707,589,707,1,0,0
7127,5891,7127,0,1,0
714,596,714,1,0,0
716,598,716,1,0,0
7186,5944,7186,1,0,0
719,600,719,1,0,0
7195,5952,7195,1,0,0
722,603,722,1,0,0
725,606,725,1,0,0
7286,6030,7286,0,1,0
7422,6148,7422,1,0,0
7434,6157,7434,1,0,0
7576,6273,7576,1,0,0
76,65,76,1,0,0
7672,6353,7672,1,0,0
7683,6363,7683,0,1,0
769,641,769,1,0,0
77,66,77,1,0,0
778,648,778,1,0,0
7796,6461,7796,1,0,0
7855,6505,7855,1,0,0
786,655,786,0,0,1
79,68,79,0,1,0
791,660,791,1,0,0
797,665,797,1,0,0
8030,6649,8030,1,0,0
810,675,810,1,0,0
816,680,816,1,0,0
819,683,819,1,0,0
8217,6806,8217,0,0,1
822,685,822,1,0,0
826,689,826,0,0,1
8295,6872,8295,1,0,0
83,71,83,0,0,1
834,696,834,1,0,0
8342,6910,8342,0,0,1
8366,6930,8366,1,0,0
8392,6950,8392,1,0,0
8502,7045,8502,1,0,0
8506,7049,8506,0,0,1
858,716,858,1,0,0
861,718,861,1,0,0
87,73,87,1,0,0
876,730,876,1,0,0
886,738,886,0,1,0
887,739,887,1,0,0
9,7,9,0,1,0
906,756,906,0,0,1
9276,7487,8968,1,0,0
928,776,928,0,1,0
9427,7614,9119,1,0,0
946,790,946,1,0,0
954,796,954,1,0,0
9555,7721,9247,1,0,0
9569,7733,9261,1,0,0
9582,7745,9274,1,0,0
963,804,963,1,0,0
9641,7795,9333,0,1,0
967,807,967,0,0,1
9717,7859,9409,0,1,0
9721,7861,9413,1,0,0
9760,7894,9452,1,0,0
9833,7957,9525,1,0,0
984,819,984,1,0,0
9914,8026,9606,1,0,0
992,825,992,1,0,0
9929,8038,9621,1,0,0
9930,8039,9622,1,0,0
996,828,996,0,0,1
999,830,999,1,0,0
1049,871,1049,1,0,0
1067,886,1067,0,1,0
11497,9337,11189,1,0,0
11545,9377,11237,1,0,0
1197,993,1197,1,0,0
1220,1016,1220,0,1,0
1253,1044,1253,1,0,0
128,106,128,1,0,0
1280,1067,1280,1,0,0
12991,10562,12683,1,0,0
13051,10613,12743,1,0,0
1316,1097,1316,1,0,0
13201,10738,12893,1,0,0
1322,1101,1322,1,0,0
1333,1112,1333,1,0,0
13690,11138,13382,1,0,0
