disp_id,client_id,account_id,type
1441,1441,1195,OWNER
1442,1442,1195,DISPONENT
1443,1443,1196,OWNER
1444,1444,1196,DISPONENT
1463,1463,1212,OWNER
1467,1467,1215,OWNER
1475,1475,1222,OWNER
1489,1489,1234,OWNER
1542,1542,1277,OWNER
1543,1543,1277,DISPONENT
1557,1557,1287,OWNER
1566,1566,1295,OWNER
1572,1572,1299,OWNER
1582,1582,1308,OWNER
1584,1584,1310,OWNER
1589,1589,1314,OWNER
1605,1605,1326,OWNER
1616,1616,1335,OWNER
1617,1617,1336,OWNER
1618,1618,1337,OWNER
1631,1631,1346,OWNER
1633,1633,1348,OWNER
1634,1634,1348,DISPONENT
1660,1660,1372,OWNER
1662,1662,1374,OWNER
1663,1663,1375,OWNER
1666,1666,1377,OWNER
1667,1667,1377,DISPONENT
1673,1673,1382,OWNER
1690,1690,1396,OWNER
1697,1697,1402,OWNER
1698,1698,1402,DISPONENT
1699,1699,1403,OWNER
1722,1722,1420,OWNER
1730,1730,1426,OWNER
1733,1733,1429,OWNER
1734,1734,1430,OWNER
1735,1735,1430,DISPONENT
1746,1746,1439,OWNER
1747,1747,1439,DISPONENT
1748,1748,1440,OWNER
1763,1763,1454,OWNER
1764,1764,1455,OWNER
1781,1781,1469,OWNER
1782,1782,1470,OWNER
1783,1783,1471,OWNER
1785,1785,1473,OWNER
1788,1788,1475,OWNER
1789,1789,1476,OWNER
1790,1790,1477,OWNER
1796,1796,1483,OWNER
1797,1797,1483,DISPONENT
1799,1799,1485,OWNER
1812,1812,1495,OWNER
1813,1813,1495,DISPONENT
1820,1820,1501,OWNER
1824,1824,1505,OWNER
1839,1839,1517,OWNER
1840,1840,1517,DISPONENT
1861,1861,1535,OWNER
1869,1869,1542,OWNER
1870,1870,1542,DISPONENT
1903,1903,1570,OWNER
1911,1911,1578,OWNER
1920,1920,1585,OWNER
1929,1929,1591,OWNER
1934,1934,1596,OWNER
1935,1935,1597,OWNER
1938,1938,1599,OWNER
1952,1952,1610,OWNER
1953,1953,1610,DISPONENT
1954,1954,1611,OWNER
1959,1959,1615,OWNER
1963,1963,1619,OWNER
1964,1964,1620,OWNER
1967,1967,1623,OWNER
1968,1968,1623,DISPONENT
2000,2000,1650,OWNER
2008,2008,1656,OWNER
2045,2045,1685,OWNER
2046,2046,1685,DISPONENT
2059,2059,1696,OWNER
2060,2060,1696,DISPONENT
2070,2070,1705,OWNER
2073,2073,1708,OWNER
2074,2074,1709,OWNER
2083,2083,1718,OWNER
2084,2084,1719,OWNER
2085,2085,1719,DISPONENT
2091,2091,1724,OWNER
2096,2096,1728,OWNER
2097,2097,1729,OWNER
2098,2098,1729,DISPONENT
2099,2099,1730,OWNER
2111,2111,1740,OWNER
2113,2113,1742,OWNER
2144,2144,1768,OWNER
2155,2155,1778,OWNER
2158,2158,1781,OWNER
2164,2164,1786,OWNER
2165,2165,1786,DISPONENT
2166,2166,1787,OWNER
2172,2172,1792,OWNER
2173,2173,1793,OWNER
2178,2178,1798,OWNER
2179,2179,1799,OWNER
2182,2182,1802,OWNER
2183,2183,1802,DISPONENT
2187,2187,1806,OWNER
2188,2188,1806,DISPONENT
2192,2192,1809,OWNER
2193,2193,1809,DISPONENT
2198,2198,1814,OWNER
2199,2199,1814,DISPONENT
2222,2222,1831,OWNER
2240,2240,1847,OWNER
2241,2241,1847,DISPONENT
2248,2248,1853,OWNER
2264,2264,1866,OWNER
2279,2279,1878,OWNER
2281,2281,1880,OWNER
2283,2283,1882,OWNER
2290,2290,1887,OWNER
2305,2305,1898,OWNER
2306,2306,1898,DISPONENT
2318,2318,1908,OWNER
2325,2325,1915,OWNER
2330,2330,1920,OWNER
2340,2340,1927,OWNER
2341,2341,1927,DISPONENT
2364,2364,1945,OWNER
2382,2382,1959,OWNER
2388,2388,1963,OWNER
2392,2392,1967,OWNER
2413,2413,1986,OWNER
2423,2423,1994,OWNER
2452,2452,2019,OWNER
2454,2454,2021,OWNER
2455,2455,2022,OWNER
2456,2456,2022,DISPONENT
2491,2491,2053,OWNER
2492,2492,2053,DISPONENT
2497,2497,2058,OWNER
2514,2514,2073,OWNER
2515,2515,2074,OWNER
2520,2520,2078,OWNER
2522,2522,2080,OWNER
2523,2523,2080,DISPONENT
2526,2526,2083,OWNER
2558,2558,2114,OWNER
2565,2565,2121,OWNER
2567,2567,2123,OWNER
2568,2568,2123,DISPONENT
2577,2577,2131,OWNER
2588,2588,2140,OWNER
2606,2606,2153,OWNER
2613,2613,2159,OWNER
2616,2616,2162,OWNER
2617,2617,2162,DISPONENT
2619,2619,2164,OWNER
2620,2620,2164,DISPONENT
2623,2623,2167,OWNER
2626,2626,2170,OWNER
2639,2639,2180,OWNER
2640,2640,2180,DISPONENT
2642,2642,2182,OWNER
2646,2646,2186,OWNER
2650,2650,2189,OWNER
2651,2651,2189,DISPONENT
2666,2666,2203,OWNER
2679,2679,2213,OWNER
2680,2680,2213,DISPONENT
2681,2681,2214,OWNER
2682,2682,2214,DISPONENT
2688,2688,2219,OWNER
2698,2698,2227,OWNER
2699,2699,2227,DISPONENT
2700,2700,2228,OWNER
2705,2705,2233,OWNER
2707,2707,2235,OWNER
2712,2712,2239,OWNER
2738,2738,2261,OWNER
2741,2741,2264,OWNER
2743,2743,2266,OWNER
2744,2744,2266,DISPONENT
2762,2762,2282,OWNER
2765,2765,2285,OWNER
2768,2768,2287,OWNER
2777,2777,2294,OWNER
2815,2815,2328,OWNER
2816,2816,2328,DISPONENT
2830,2830,2342,OWNER
2836,2836,2347,OWNER
2837,2837,2347,DISPONENT
2845,2845,2354,OWNER
2850,2850,2358,OWNER
2856,2856,2363,OWNER
2858,2858,2365,OWNER
2865,2865,2371,OWNER
2866,2866,2371,DISPONENT
2880,2880,2385,OWNER
2885,2885,2390,OWNER
2886,2886,2390,DISPONENT
2887,2887,2391,OWNER
2889,2889,2393,OWNER
2890,2890,2394,OWNER
2891,2891,2394,DISPONENT
2894,2894,2397,OWNER
2895,2895,2398,OWNER
2900,2900,2402,OWNER
2901,2901,2403,OWNER
2923,2923,2420,OWNER
2930,2930,2425,OWNER
2932,2932,2427,OWNER
2935,2935,2429,OWNER
2937,2937,2431,OWNER
2940,2940,2434,OWNER
2941,2941,2435,OWNER
2944,2944,2438,OWNER
2948,2948,2441,OWNER
2964,2964,2454,OWNER
2966,2966,2456,OWNER
2969,2969,2459,OWNER
2970,2970,2459,DISPONENT
2972,2972,2461,OWNER
2975,2975,2464,OWNER
2990,2990,2476,OWNER
2991,2991,2476,DISPONENT
2998,2998,2483,OWNER
2999,2999,2484,OWNER
3009,3009,2493,OWNER
3010,3010,2493,DISPONENT
3029,3029,2509,OWNER
3030,3030,2510,OWNER
3031,3031,2511,OWNER
3032,3032,2511,DISPONENT
3041,3041,2519,OWNER
3051,3051,2528,OWNER
3066,3066,2540,OWNER
3069,3069,2542,OWNER
3076,3076,2548,OWNER
3079,3079,2550,OWNER
3084,3084,2554,OWNER
3088,3088,2557,OWNER
3096,3096,2565,OWNER
3098,3098,2567,OWNER
3103,3103,2572,OWNER
3112,3112,2579,OWNER
3115,3115,2581,OWNER
3121,3121,2586,OWNER
3122,3122,2586,DISPONENT
3124,3124,2588,OWNER
3126,3126,2590,OWNER
3132,3132,2596,OWNER
3141,3141,2603,OWNER
3147,3147,2608,OWNER
3158,3158,2617,OWNER
3172,3172,2628,OWNER
3176,3176,2631,OWNER
3186,3186,2640,OWNER
3199,3199,2652,OWNER
3200,3200,2652,DISPONENT
3205,3205,2656,OWNER
3206,3206,2656,DISPONENT
3220,3220,2667,OWNER
3221,3221,2667,DISPONENT
3230,3230,2675,OWNER
3231,3231,2676,OWNER
3240,3240,2685,OWNER
3245,3245,2689,OWNER
3246,3246,2690,OWNER
3259,3259,2701,OWNER
3260,3260,2702,OWNER
3261,3261,2702,DISPONENT
3282,3282,2718,OWNER
3291,3291,2725,OWNER
3292,3292,2726,OWNER
3294,3294,2728,OWNER
3296,3296,2730,OWNER
3298,3298,2732,OWNER
3311,3311,2743,OWNER
3316,3316,2747,OWNER
3317,3317,2747,DISPONENT
3322,3322,2751,OWNER
3323,3323,2752,OWNER
3328,3328,2756,OWNER
3333,3333,2760,OWNER
3347,3347,2772,OWNER
3348,3348,2773,OWNER
3352,3352,2776,OWNER
3353,3353,2776,DISPONENT
3354,3354,2777,OWNER
3360,3360,2783,OWNER
3382,3382,2799,OWNER
3383,3383,2799,DISPONENT
3399,3399,2814,OWNER
3404,3404,2817,OWNER
3420,3420,2829,OWNER
3426,3426,2835,OWNER
3435,3435,2842,OWNER
3439,3439,2845,OWNER
3446,3446,2852,OWNER
3451,3451,2857,OWNER
3452,3452,2857,DISPONENT
3457,3457,2861,OWNER
3463,3463,2865,OWNER
3468,3468,2869,OWNER
3469,3469,2870,OWNER
3472,3472,2873,OWNER
3473,3473,2873,DISPONENT
3486,3486,2884,OWNER
3487,3487,2885,OWNER
3489,3489,2887,OWNER
3499,3499,2895,OWNER
3512,3512,2906,OWNER
3515,3515,2908,OWNER
3527,3527,2919,OWNER
3528,3528,2920,OWNER
3530,3530,2922,OWNER
3533,3533,2925,OWNER
3539,3539,2931,OWNER
3556,3556,2945,OWNER
3557,3557,2945,DISPONENT
3562,3562,2949,OWNER
3563,3563,2949,DISPONENT
3564,3564,2950,OWNER
3573,3573,2959,OWNER
3582,3582,2967,OWNER
3585,3585,2969,OWNER
3610,3610,2989,OWNER
3611,3611,2990,OWNER
3628,3628,3004,OWNER
3632,3632,3007,OWNER
3636,3636,3010,OWNER
3637,3637,3011,OWNER
3638,3638,3012,OWNER
3640,3640,3014,OWNER
3641,3641,3014,DISPONENT
3649,3649,3021,OWNER
3693,3693,3055,OWNER
3694,3694,3055,DISPONENT
3701,3701,3060,OWNER
3705,3705,3064,OWNER
3708,3708,3067,OWNER
3709,3709,3067,DISPONENT
3710,3710,3068,OWNER
3713,3713,3071,OWNER
3719,3719,3076,OWNER
3720,3720,3076,DISPONENT
3747,3747,3098,OWNER
3757,3757,3107,OWNER
3762,3762,3111,OWNER
3779,3779,3124,OWNER
3781,3781,3126,OWNER
3783,3783,3128,OWNER
3784,3784,3128,DISPONENT
3786,3786,3130,OWNER
3798,3798,3141,OWNER
3833,3833,3169,OWNER
3842,3842,3177,OWNER
3843,3843,3178,OWNER
3849,3849,3184,OWNER
3850,3850,3185,OWNER
3851,3851,3185,DISPONENT
3881,3881,3209,OWNER
3882,3882,3209,DISPONENT
3884,3884,3211,OWNER
3906,3906,3229,OWNER
3919,3919,3240,OWNER
3929,3929,3249,OWNER
3942,3942,3258,OWNER
3947,3947,3262,OWNER
3948,3948,3263,OWNER
3949,3949,3263,DISPONENT
3958,3958,3269,OWNER
3960,3960,3271,OWNER
3975,3975,3284,OWNER
3978,3978,3287,OWNER
3981,3981,3290,OWNER
3984,3984,3293,OWNER
3988,3988,3297,OWNER
3989,3989,3297,DISPONENT
3990,3990,3298,OWNER
4004,4004,3312,OWNER
4012,4012,3319,OWNER
4026,4026,3330,OWNER
4032,4032,3335,OWNER
4037,4037,3339,OWNER
4057,4057,3355,OWNER
4061,4061,3359,OWNER
4065,4065,3362,OWNER
4069,4069,3366,OWNER
4070,4070,3366,DISPONENT
4081,4081,3375,OWNER
4109,4109,3399,OWNER
4121,4121,3409,OWNER
4137,4137,3422,OWNER
4147,4147,3431,OWNER
4148,4148,3431,DISPONENT
4149,4149,3432,OWNER
4150,4150,3432,DISPONENT
4169,4169,3448,OWNER
4170,4170,3448,DISPONENT
4178,4178,3456,OWNER
4188,4188,3465,OWNER
4210,4210,3483,OWNER
4217,4217,3489,OWNER
4221,4221,3493,OWNER
4223,4223,3495,OWNER
4231,4231,3503,OWNER
4238,4238,3510,OWNER
4260,4260,3529,OWNER
4273,4273,3540,OWNER
4276,4276,3543,OWNER
4277,4277,3543,DISPONENT
4288,4288,3553,OWNER
4292,4292,3557,OWNER
4298,4298,3561,OWNER
4301,4301,3564,OWNER
4310,4310,3572,OWNER
4321,4321,3582,OWNER
4322,4322,3582,DISPONENT
4328,4328,3586,OWNER
4338,4338,3595,OWNER
4346,4346,3603,OWNER
4348,4348,3605,OWNER
4355,4355,3610,OWNER
4365,4365,3618,OWNER
4367,4367,3620,OWNER
4369,4369,3622,OWNER
4371,4371,3624,OWNER
4373,4373,3626,OWNER
4381,4381,3632,OWNER
4382,4382,3633,OWNER
4385,4385,3636,OWNER
4399,4399,3648,OWNER
4405,4405,3654,OWNER
4411,4411,3659,OWNER
4412,4412,3659,DISPONENT
4416,4416,3663,OWNER
4420,4420,3667,OWNER
4427,4427,3673,OWNER
4428,4428,3674,OWNER
4433,4433,3678,OWNER
4449,4449,3689,OWNER
4461,4461,3699,OWNER
4494,4494,3726,OWNER
4506,4506,3734,OWNER
4514,4514,3741,OWNER
4529,4529,3754,OWNER
4530,4530,3754,DISPONENT
4532,4532,3756,OWNER
4546,4546,3770,OWNER
4547,4547,3771,OWNER
4549,4549,3773,OWNER
4561,4561,3783,OWNER
4574,4574,3794,OWNER
4580,4580,3800,OWNER
4591,4591,3810,OWNER
4594,4594,3813,OWNER
4595,4595,3813,DISPONENT
4610,4610,3826,OWNER
4615,4615,3830,OWNER
4617,4617,3832,OWNER
4618,4618,3832,DISPONENT
4633,4633,3843,OWNER
4683,4683,3885,OWNER
4689,4689,3890,OWNER
4690,4690,3891,OWNER
4691,4691,3891,DISPONENT
4724,4724,3918,OWNER
4727,4727,3920,OWNER
4728,4728,3920,DISPONENT
4733,4733,3925,OWNER
4745,4745,3935,OWNER
4751,4751,3940,OWNER
4752,4752,3941,OWNER
4753,4753,3941,DISPONENT
4755,4755,3943,OWNER
4756,4756,3944,OWNER
4757,4757,3944,DISPONENT
4774,4774,3958,OWNER
4775,4775,3958,DISPONENT
4790,4790,3971,OWNER
4793,4793,3974,OWNER
4802,4802,3982,OWNER
4804,4804,3984,OWNER
4808,4808,3988,OWNER
4811,4811,3990,OWNER
4815,4815,3994,OWNER
4816,4816,3994,DISPONENT
4826,4826,4003,OWNER
4836,4836,4013,OWNER
4853,4853,4026,OWNER
4904,4904,4069,OWNER
4915,4915,4078,OWNER
4930,4930,4093,OWNER
4956,4956,4116,OWNER
5010,5010,4156,OWNER
5056,5056,4195,OWNER
5137,5137,4263,OWNER
5138,5138,4264,OWNER
5149,5149,4273,OWNER
5164,5164,4287,OWNER
5214,5214,4330,OWNER
5215,5215,4330,DISPONENT
5217,5217,4332,OWNER
5237,5237,4347,OWNER
5247,5247,4356,OWNER
5253,5253,4361,OWNER
5254,5254,4361,DISPONENT
5287,5287,4389,OWNER
5404,5404,4480,OWNER
5413,5413,4488,OWNER
5433,5433,4503,OWNER
5460,5460,4526,OWNER
5473,5473,4538,OWNER
5478,5478,4543,OWNER
5487,5487,4550,OWNER
5539,5539,4596,OWNER
5579,5579,4631,OWNER
5580,5580,4631,DISPONENT
5618,5618,4660,OWNER
5684,5684,4715,OWNER
5736,5736,4753,OWNER
5965,5965,4937,OWNER
5978,5978,4949,OWNER
6001,6001,4969,OWNER
6183,6183,5125,OWNER
6185,6185,5126,OWNER
6186,6186,5126,DISPONENT
6363,6363,5267,OWNER
6408,6408,5305,OWNER
6473,6473,5362,OWNER
6474,6474,5362,DISPONENT
6501,6501,5387,OWNER
6610,6610,5477,OWNER
6616,6616,5481,OWNER
6753,6753,5593,OWNER
6803,6803,5632,OWNER
6804,6804,5632,DISPONENT
6829,6829,5650,OWNER
6944,6944,5740,OWNER
6967,6967,5758,OWNER
7100,7100,5868,OWNER
7241,7241,5991,OWNER
7311,7311,6051,OWNER
7325,7325,6062,OWNER
7567,7567,6265,OWNER
7632,7632,6321,OWNER
7787,7787,6453,OWNER
7815,7815,6473,OWNER
7862,7862,6510,OWNER
7864,7864,6512,OWNER
7959,7959,6592,OWNER
8013,8013,6636,OWNER
8359,8359,6924,OWNER
8571,8571,7101,OWNER
8615,8615,7136,OWNER
8636,8636,7156,OWNER
8661,8661,7176,OWNER
8666,8666,7180,OWNER
8670,8670,7184,OWNER
8942,9250,7465,OWNER
9008,9316,7523,OWNER
9149,9457,7637,OWNER
9150,9458,7637,DISPONENT
9285,9593,7753,OWNER
9572,9880,7997,OWNER
9625,9933,8041,OWNER
9758,10066,8149,OWNER
10689,10997,8926,OWNER
10690,10998,8926,DISPONENT
10726,11034,8957,OWNER
10742,11050,8972,OWNER
10966,11274,9159,OWNER
10967,11275,9159,DISPONENT
11064,11372,9236,OWNER
11073,11381,9242,OWNER
11189,11497,9337,OWNER
11237,11545,9377,OWNER
11354,11662,9472,OWNER
11447,11755,9549,OWNER
11668,11976,9730,OWNER
11669,11977,9730,DISPONENT
11670,11978,9731,OWNER
11671,11979,9731,DISPONENT
11873,12181,9897,OWNER
12050,12358,10049,OWNER
12051,12359,10049,DISPONENT
12068,12376,10063,OWNER
12124,12432,10105,OWNER
12239,12547,10202,OWNER
12387,12695,10320,OWNER
12551,12859,10451,OWNER
12683,12991,10562,OWNER
12743,13051,10613,OWNER
12893,13201,10738,OWNER
12938,13246,10774,OWNER
12952,13260,10788,OWNER
12968,13276,10799,OWNER
13182,13490,10973,OWNER
13382,13690,11138,OWNER
13386,13694,11141,OWNER
13604,13912,11317,OWNER
13613,13921,11325,OWNER
