trans_id,account_id,date,type,operation,amount,balance,k_symbol,bank,account
1103911,3771,931130,VYDAJ,VYBER,14.6,59336.5,SLUZBY,,
3587295,1730,931130,PRIJEM,,119.7,27393.4,UROK,,
3589827,1806,931130,PRIJEM,,107.9,26362.5,UROK,,
3589178,1786,931130,PRIJEM,,182.7,37245.2,UROK,,
3587016,1719,931130,PRIJEM,,19.8,13111.4,UROK,,
3586620,1705,931130,PRIJEM,,108.2,30229.1,UROK,,
729207,2493,931130,VYDAJ,VYBER,14.6,27451.4,SLUZBY,,
726205,2484,931130,VYDAJ,VYBER,14.6,35908.8,SLUZBY,,
3614460,2542,931130,PRIJEM,,119.7,29975.1,UROK,,
3614981,2554,931130,PRIJEM,,203.1,46007.8,UROK,,
3615847,2581,931130,PRIJEM,,205.9,52937.1,UROK,,
3614038,2528,931130,PRIJEM,,89.8,22252.8,UROK,,
3613633,2519,931130,PRIJEM,,110.9,27670.5,UROK,,
3613265,2510,931130,PRIJEM,,148.1,40909.6,UROK,,
3644561,3465,931130,PRIJEM,,126.1,32155.4,UROK,,
3644291,3456,931130,PRIJEM,,28.1,19703.9,UROK,,
3450755,4596,931130,PRIJEM,,152.4,14439.8,UROK,,
3450537,4543,931130,PRIJEM,,61.3,20935.3,UROK,,
3449303,3678,931130,PRIJEM,,83.6,22248.7,UROK,,
3449465,3734,931130,PRIJEM,,120.8,28579.0,UROK,,
3451959,5387,931130,PRIJEM,,92.9,28324.4,UROK,,
593879,2022,931130,VYDAJ,VYBER,14.6,23402.9,SLUZBY,,
3495546,8041,931130,PRIJEM,,184.0,33755.0,UROK,,
3505579,8957,931130,PRIJEM,,82.3,53348.3,UROK,,
3547890,520,931130,PRIJEM,,12.5,4510.5,UROK,,
3549960,588,931130,PRIJEM,,128.3,30829.7,UROK,,
3599227,2078,931130,PRIJEM,,206.6,49779.0,UROK,,
3600916,2140,931130,PRIJEM,,18.3,11996.3,UROK,,
3466575,3586,931130,PRIJEM,,162.0,39214.7,UROK,,
3468315,4078,931130,PRIJEM,,185.9,45587.6,UROK,,
3468447,4093,931130,PRIJEM,,137.2,28774.9,UROK,,
3465239,3298,931130,PRIJEM,,147.0,36669.8,UROK,,
3466059,3510,931130,PRIJEM,,138.4,25450.2,UROK,,
858204,2925,931130,VYDAJ,VYBER,14.6,31199.8,SLUZBY,,
558075,1898,931130,VYDAJ,VYBER,14.6,33777.6,SLUZBY,,
382651,1299,931130,VYDAJ,VYBER,14.6,25820.8,SLUZBY,,
3446739,1475,931130,PRIJEM,,170.6,25240.2,UROK,,
3445808,773,931130,PRIJEM,,149.9,36199.9,UROK,,
3447225,1787,931130,PRIJEM,,190.6,25284.2,UROK,,
3446837,1505,931130,PRIJEM,,135.6,28469.5,UROK,,
211167,717,931130,VYDAJ,VYBER,14.6,38181.7,SLUZBY,,
375418,1277,931130,VYDAJ,VYBER,14.6,26255.6,SLUZBY,,
3047833,10105,931130,VYDAJ,VYBER,14.6,47003.2,SLUZBY,,
3463740,2817,931130,PRIJEM,,206.0,48960.3,UROK,,
3602385,2186,931130,PRIJEM,,73.8,26350.2,UROK,,
3601856,2167,931130,PRIJEM,,177.2,43317.8,UROK,,
3603122,2213,931130,PRIJEM,,122.0,29830.4,UROK,,
3602487,2189,931130,PRIJEM,,185.3,40793.1,UROK,,
3603355,2219,931130,PRIJEM,,185.2,13012.7,UROK,,
1092100,3734,931130,VYDAJ,VYBER,14.6,28564.4,SLUZBY,,
59139,197,931130,VYDAJ,VYBER,14.6,35597.2,SLUZBY,,
66238,220,931130,VYDAJ,VYBER,14.6,22319.3,SLUZBY,,
523426,1786,931130,VYDAJ,VYBER,14.6,37230.6,SLUZBY,,
699527,2393,931130,VYDAJ,VYBER,14.6,34078.1,SLUZBY,,
3541756,340,931130,PRIJEM,,16.0,6790.0,UROK,,
3567280,1118,931130,PRIJEM,,147.4,34216.9,UROK,,
3568407,1145,931130,PRIJEM,,17.6,15580.6,UROK,,
3597456,2022,931130,PRIJEM,,93.1,23417.5,UROK,,
3555184,750,931130,PRIJEM,,132.0,39827.9,UROK,,
3555247,751,931130,PRIJEM,,72.3,17827.4,UROK,,
3557693,837,931130,PRIJEM,,126.2,35954.1,UROK,,
3558223,854,931130,PRIJEM,,83.0,25218.0,UROK,,
3555415,757,931130,PRIJEM,,126.9,30463.2,UROK,,
900435,3068,931130,VYDAJ,VYBER,14.6,23144.3,SLUZBY,,
902960,3076,931130,VYDAJ,VYBER,14.6,21841.0,SLUZBY,,
530010,1806,931130,VYDAJ,VYBER,14.6,26347.9,SLUZBY,,
882812,3007,931130,VYDAJ,VYBER,14.6,38602.3,SLUZBY,,
1693896,5740,931130,VYDAJ,VYBER,14.6,30740.6,SLUZBY,,
1693639,5740,931130,PRIJEM,VKLAD,14473.0,30755.2,,,
3536978,197,931130,PRIJEM,,175.0,35611.8,UROK,,
3536130,172,931130,PRIJEM,,156.3,43242.8,UROK,,
3535065,142,931130,PRIJEM,,87.4,22147.0,UROK,,
3537765,220,931130,PRIJEM,,107.6,22333.9,UROK,,
275540,943,931130,VYDAJ,VYBER,14.6,18418.9,SLUZBY,,
275117,942,931130,VYDAJ,VYBER,14.6,23858.8,SLUZBY,,
442578,1505,931130,VYDAJ,VYBER,14.6,28454.9,SLUZBY,,
227559,773,931130,VYDAJ,VYBER,14.6,36185.3,SLUZBY,,
1048529,3586,931130,VYDAJ,VYBER,14.6,39200.1,SLUZBY,,
1450457,4937,931130,VYDAJ,VYBER,14.6,61668.7,SLUZBY,,
3607360,2342,931130,PRIJEM,,74.9,18071.0,UROK,,
3609137,2393,931130,PRIJEM,,134.4,34092.7,UROK,,
3605520,2282,931130,PRIJEM,,184.7,53058.9,UROK,,
402945,1372,931130,VYDAJ,VYBER,14.6,30644.7,SLUZBY,,
284510,977,931130,VYDAJ,VYBER,14.6,33246.8,SLUZBY,,
292486,1000,931130,VYDAJ,VYBER,14.6,44152.2,SLUZBY,,
3611410,2464,931130,PRIJEM,,269.6,51985.4,UROK,,
3612149,2484,931130,PRIJEM,,169.0,35923.4,UROK,,
3612573,2493,931130,PRIJEM,,114.0,27466.0,UROK,,
3610590,2434,931130,PRIJEM,,84.7,18228.7,UROK,,
3610119,2425,931130,PRIJEM,,100.9,25152.2,UROK,,
3610377,2429,931130,PRIJEM,,157.9,37662.0,UROK,,
719674,2464,931130,VYDAJ,VYBER,100.0,51885.4,SLUZBY,,
756447,2581,931130,VYDAJ,VYBER,14.6,52922.5,SLUZBY,,
3638300,3258,931130,PRIJEM,,222.3,30168.7,UROK,,
3639238,3284,931130,PRIJEM,,124.4,25223.2,UROK,,
3639369,3287,931130,PRIJEM,,169.4,45289.0,UROK,,
3640387,3319,931130,PRIJEM,,90.5,25352.0,UROK,,
3671073,5481,931130,PRIJEM,,214.5,55938.8,UROK,,
3667912,4937,931130,PRIJEM,,295.7,61683.3,UROK,,
737496,2519,931130,VYDAJ,VYBER,14.6,27655.9,SLUZBY,,
840405,2861,931130,VYDAJ,VYBER,14.6,25352.5,SLUZBY,,
3492049,7753,931130,PRIJEM,,198.9,37467.6,UROK,,
3479538,9236,931130,PRIJEM,,117.7,30494.1,UROK,,
3545171,443,931130,PRIJEM,,76.0,19360.7,UROK,,
3543578,397,931130,PRIJEM,,22.9,27527.9,UROK,,
3544912,435,931130,PRIJEM,,84.5,20448.6,UROK,,
3545708,456,931130,PRIJEM,,153.5,51008.1,UROK,,
3545268,445,931130,PRIJEM,,158.2,40965.4,UROK,,
3573360,1299,931130,PRIJEM,,108.2,25835.4,UROK,,
3570849,1222,931130,PRIJEM,,107.7,25782.7,UROK,,
3572462,1277,931130,PRIJEM,,104.5,26270.2,UROK,,
3571174,1234,931130,PRIJEM,,31.2,20351.1,UROK,,
3624986,2861,931130,PRIJEM,,107.3,25367.1,UROK,,
3623475,2814,931130,PRIJEM,,106.6,26457.8,UROK,,
1911086,6473,931130,VYDAJ,VYBER,14.6,78174.1,SLUZBY,,
3534623,123,931130,PRIJEM,,91.8,22666.0,UROK,,
3534500,119,931130,PRIJEM,,190.5,42290.5,UROK,,
3533939,104,931130,PRIJEM,,65.2,15954.1,UROK,,
506658,1730,931130,VYDAJ,VYBER,14.6,27378.8,SLUZBY,,
847023,2884,931130,VYDAJ,VYBER,14.6,27323.8,SLUZBY,,
849966,2895,931130,VYDAJ,VYBER,14.6,48517.8,SLUZBY,,
412131,1402,931130,VYDAJ,VYBER,14.6,28704.0,SLUZBY,,
3469603,4287,931130,PRIJEM,,28.6,13748.6,UROK,,
3470003,4347,931130,PRIJEM,,119.0,29093.8,UROK,,
3524009,10738,931130,PRIJEM,,140.0,28236.3,UROK,,
3526461,10973,931130,PRIJEM,,339.6,84075.2,UROK,,
3521524,10451,931130,PRIJEM,,127.7,36651.2,UROK,,
3625872,2884,931130,PRIJEM,,111.4,27338.4,UROK,,
3627135,2925,931130,PRIJEM,,130.4,31214.4,UROK,,
3626263,2895,931130,PRIJEM,,183.6,48532.4,UROK,,
708311,2425,931130,VYDAJ,VYBER,14.6,25137.6,SLUZBY,,
710376,2429,931130,VYDAJ,VYBER,14.6,37647.4,SLUZBY,,
712092,2434,931130,VYDAJ,VYBER,14.6,18214.1,SLUZBY,,
473050,1610,931201,VYDAJ,VYBER,3600.0,38223.4,,,
1075095,3674,931201,VYDAJ,VYBER,1900.0,11623.0,,,0.0
1344997,4596,931201,VYDAJ,VYBER,4500.0,9925.2,,,
3302835,10973,931201,VYDAJ,VYBER,2100.0,81945.2,,,
327699,1118,931201,VYDAJ,VYBER,2800.0,31402.3,,,
439945,1495,931201,PRIJEM,VKLAD,2100.0,26807.9,,,
712711,2435,931201,PRIJEM,VKLAD,11400.0,11600.0,,,
3248776,10788,931202,PRIJEM,VKLAD,14263.0,15063.0,,,
3235365,10738,931202,VYDAJ,VYBER,2800.0,25406.3,,,0.0
967969,3298,931202,VYDAJ,VYBER,4800.0,31869.8,,,
826897,2817,931202,VYDAJ,VYBER,600.0,48345.7,,,
437338,1485,931202,VYDAJ,VYBER,11600.0,37813.2,,,
1959187,6636,931202,VYDAJ,VYBER,1400.0,21100.0,,,
846985,2884,931202,VYDAJ,VYBER,3360.0,23963.8,,,
956018,3258,931202,VYDAJ,VYBER,2900.0,27268.7,,,
640344,2186,931203,VYDAJ,VYBER,300.0,26035.6,,,
130132,437,931203,PRIJEM,VKLAD,700.0,700.0,,,
1150619,3935,931203,VYDAJ,VYBER,6500.0,27135.3,,,
827052,2817,931203,VYDAJ,VYBER,13700.0,34645.7,,,
2862557,9472,931203,VYDAJ,VYBER,7400.0,34041.8,,,
327547,1118,931203,VYDAJ,VYBER,4000.0,27402.3,,,
685820,2342,931203,VYDAJ,VYBER,240.0,17816.4,,,
386472,1314,931203,PRIJEM,VKLAD,600.0,600.0,,,
1028014,3510,931203,PRIJEM,VKLAD,100.0,25550.2,,,
1092169,3734,931203,VYDAJ,VYBER,2500.0,26064.4,,,
699598,2393,931203,VYDAJ,VYBER,2600.0,31478.1,,,
1083307,3699,931203,VYDAJ,VYBER,16500.0,39822.0,,,
710446,2429,931203,VYDAJ,VYBER,7800.0,29847.4,,,
2349881,7753,931204,VYBER,VYBER,8641.0,28812.0,,,
1076580,3678,931204,VYDAJ,VYBER,5800.0,16434.1,SIPO,,0.0
136011,456,931204,VYDAJ,VYBER,5400.0,45593.5,,,
1345148,4596,931204,PRIJEM,VKLAD,8000.0,17925.2,,,
1271273,4347,931204,VYDAJ,VYBER,2400.0,26679.2,,,
1584634,5387,931204,VYDAJ,VYBER,3200.0,25124.4,,,
529971,1806,931204,VYDAJ,VYBER,1040.0,25307.9,,,
442534,1505,931204,VYDAJ,VYBER,2000.0,26454.9,,,
719632,2464,931204,VYDAJ,VYBER,1500.0,50385.4,,,
758567,2588,931204,PRIJEM,VKLAD,200.0,200.0,,,
850035,2895,931204,VYDAJ,VYBER,13600.0,34917.8,,,
2350092,7753,931205,PRIJEM,VKLAD,1700.0,30512.0,,,
32227,104,931205,PRIJEM,PREVOD Z UCTU,3063.0,19002.5,,YZ,13231766.0
37895,123,931205,PRIJEM,PREVOD Z UCTU,4843.0,27494.4,DUCHOD,AB,58944725.0
554462,1887,931205,VYDAJ,VYBER,5500.0,27777.6,,,
473007,1610,931205,VYDAJ,VYBER,1600.0,36623.4,,,
649280,2219,931205,VYBER,VYBER,4756.0,8242.1,,,
647206,2213,931205,PRIJEM,VKLAD,14115.0,43945.4,,,
132006,443,931205,VYDAJ,PREVOD NA UCET,1508.0,17375.1,,KL,39137601.0
132078,443,931205,VYDAJ,PREVOD NA UCET,463.0,18883.1,,IJ,32109809.0
433814,1475,931205,PRIJEM,PREVOD Z UCTU,30826.0,56036.2,,ST,33492565.0
1150147,3935,931205,VYDAJ,PREVOD NA UCET,2648.0,24487.3,SIPO,MN,30181229.0
782461,2667,931205,PRIJEM,PREVOD Z UCTU,3270.0,7240.0,,GH,32372063.0
634196,2167,931205,PRIJEM,VKLAD,36552.0,79869.8,,,
744895,2542,931205,VYDAJ,VYBER,3000.0,26975.1,,,
749959,2557,931205,PRIJEM,VKLAD,6314.0,6714.0,,,
295006,1006,931205,PRIJEM,VKLAD,200.0,27222.3,,,
294564,1006,931205,VYDAJ,PREVOD NA UCET,390.0,26832.3,SIPO,YZ,28566903.0
328319,1120,931205,PRIJEM,PREVOD Z UCTU,5428.0,11756.0,DUCHOD,IJ,72382002.0
685675,2342,931205,PRIJEM,PREVOD Z UCTU,3247.0,21063.4,,EF,42284852.0
725907,2484,931205,VYDAJ,PREVOD NA UCET,538.0,35370.8, ,OP,83567636.0
386484,1314,931205,PRIJEM,VKLAD,24996.0,25596.0,,,
3110357,10320,931205,VYDAJ,VYBER,4900.0,56873.5,,,0.0
900324,3068,931205,VYDAJ,PREVOD NA UCET,3878.0,19266.3,SIPO,YZ,6201172.0
529784,1806,931205,PRIJEM,PREVOD Z UCTU,5029.0,30336.9,DUCHOD,UV,39912659.0
610528,2078,931205,VYDAJ,VYBER,12300.0,37479.0,,,
882661,3007,931205,VYDAJ,PREVOD NA UCET,997.0,37605.3, ,ST,61215889.0
439593,1495,931205,PRIJEM,VKLAD,36478.5,63286.4,,,
758579,2588,931205,PRIJEM,VKLAD,26296.5,26496.5,,,
1013309,3465,931205,PRIJEM,VKLAD,15486.0,47641.4,,,
506726,1730,931205,VYDAJ,VYBER,3500.0,23878.8,,,
847093,2884,931205,VYDAJ,VYBER,200.0,23763.8,,,
421371,1429,931205,VYDAJ,PREVOD NA UCET,2166.0,15184.0,SIPO,EF,8150911.0
421299,1429,931205,PRIJEM,PREVOD Z UCTU,3250.0,17350.0,,ST,70004778.0
710078,2429,931205,PRIJEM,VKLAD,21913.5,51760.9,,,
42677,142,931206,VYDAJ,VYBER,900.0,21232.4,,,
337166,1145,931206,VYDAJ,PREVOD NA UCET,1469.0,14097.0,,KL,38151466.0
649504,2219,931206,VYDAJ,VYBER,14000.0,41483.1,,,
647278,2213,931206,VYDAJ,PREVOD NA UCET,6273.0,37672.4,SIPO,IJ,46736180.0
649088,2219,931206,PRIJEM,VKLAD,47241.0,55483.1,,,
243816,837,931206,PRIJEM,VKLAD,32010.0,67964.1,,,
3235437,10738,931206,VYDAJ,PREVOD NA UCET,186.0,25220.3,SIPO,CD,73939931.0
174718,588,931206,VYDAJ,PREVOD NA UCET,1437.0,29378.1, ,MN,81579917.0
129586,435,931206,VYDAJ,PREVOD NA UCET,3189.0,17245.0,SIPO,MN,75157016.0
132150,443,931206,VYDAJ,PREVOD NA UCET,67.0,17308.1,,QR,69234090.0
393091,1337,931206,PRIJEM,VKLAD,7344.0,30703.0,,,
1150291,3935,931206,VYDAJ,PREVOD NA UCET,652.0,56439.3,POJISTNE,YZ,3849626.0
1150003,3935,931206,PRIJEM,PREVOD Z UCTU,32604.0,57091.3,,KL,32445126.0
785418,2676,931206,VYDAJ,PREVOD NA UCET,2348.0,30812.9,POJISTNE,ST,71575033.0
2862320,9472,931206,VYDAJ,PREVOD NA UCET,5119.0,28922.8,SIPO,KL,17279625.0
2862415,9472,931206,VYDAJ,VYBER,2700.0,26222.8,,,
221136,751,931206,PRIJEM,PREVOD Z UCTU,4350.0,22162.8,DUCHOD,UV,59883838.0
634523,2167,931206,VYDAJ,VYBER,29300.0,50569.8,,,
359595,1222,931206,VYDAJ,PREVOD NA UCET,1727.0,24041.1,SIPO,WX,91109859.0
434258,1476,931206,PRIJEM,PREVOD Z UCTU,6411.0,32816.7,DUCHOD,GH,63237541.0
436899,1485,931206,PRIJEM,VKLAD,35130.0,72943.2,,,
434330,1476,931206,VYDAJ,PREVOD NA UCET,3467.0,29349.7,SIPO,YZ,33632028.0
434736,1477,931206,VYDAJ,PREVOD NA UCET,2100.0,17578.7,,OP,39149236.0
748912,2554,931206,PRIJEM,VKLAD,37044.0,83037.1,,,
1138288,3891,931206,PRIJEM,VKLAD,24477.0,60526.2,,,
858274,2925,931206,VYDAJ,VYBER,3000.0,28199.8,,,
375260,1277,931206,VYDAJ,PREVOD NA UCET,3175.0,23080.6,SIPO,OP,2533764.0
58956,197,931206,PRIJEM,VKLAD,32577.0,68174.2,,,
530445,1809,931206,PRIJEM,PREVOD Z UCTU,30082.0,30282.0,,CD,80314862.0
275318,943,931206,PRIJEM,PREVOD Z UCTU,3217.0,21635.9,,OP,70103525.0
284356,977,931206,VYDAJ,PREVOD NA UCET,6846.0,26400.8,SIPO,ST,60977023.0
756516,2581,931206,VYDAJ,VYBER,13800.0,39122.5,,,
840183,2861,931206,PRIJEM,PREVOD Z UCTU,5915.0,31267.5,DUCHOD,ST,10531437.0
1910795,6473,931206,PRIJEM,VKLAD,8829.0,87003.1,,,
1013381,3465,931206,VYDAJ,PREVOD NA UCET,4543.0,43098.4,SIPO,EF,47699880.0
506462,1730,931206,PRIJEM,PREVOD Z UCTU,6689.0,30567.8,DUCHOD,ST,43294817.0
411980,1402,931206,VYDAJ,PREVOD NA UCET,374.0,28330.0, ,EF,12338292.0
51106,172,931207,PRIJEM,VKLAD,33584.0,76826.8,,,
42532,142,931207,PRIJEM,PREVOD Z UCTU,4555.0,25787.4,DUCHOD,QR,39513594.0
503768,1719,931207,PRIJEM,PREVOD Z UCTU,4152.0,17263.4,DUCHOD,IJ,25589144.0
1784354,6051,931207,PRIJEM,VKLAD,7480.0,32720.4,,,
1170086,4013,931207,PRIJEM,PREVOD Z UCTU,15045.0,32901.0,,AB,9568757.0
1170482,4013,931207,VYDAJ,VYBER,6000.0,26901.0,,,
270632,928,931207,PRIJEM,VKLAD,10263.0,33575.2,,,
1075432,3674,931207,PRIJEM,VKLAD,8700.0,20323.0,,,
129514,435,931207,PRIJEM,PREVOD Z UCTU,5039.0,22284.0,DUCHOD,MN,22131634.0
1150219,3935,931207,VYDAJ,PREVOD NA UCET,5908.0,50531.3, ,GH,11549193.0
826824,2817,931207,PRIJEM,VKLAD,20508.0,55153.7,,,
221208,751,931207,VYDAJ,PREVOD NA UCET,2363.0,19799.8,SIPO,GH,74106764.0
1246445,4264,931207,PRIJEM,VKLAD,200.0,200.0,,,
1613978,5481,931207,PRIJEM,PREVOD Z UCTU,54645.0,110583.8,,ST,47793597.0
1614319,5481,931207,VYDAJ,VYBER,61800.0,48783.8,,,
3149096,10451,931207,PRIJEM,VKLAD,21056.0,57707.2,,,
327474,1118,931207,VYDAJ,PREVOD NA UCET,1388.0,37321.3, ,GH,4071104.0
327330,1118,931207,PRIJEM,VKLAD,11307.0,38709.3,,,
557867,1898,931207,PRIJEM,PREVOD Z UCTU,15399.0,49176.6,,MN,49335420.0
523397,1786,931207,VYDAJ,VYBER,5280.0,31950.6,,,
877408,2989,931207,PRIJEM,PREVOD Z UCTU,5093.0,5693.0,DUCHOD,MN,26638216.0
1083019,3699,931207,PRIJEM,VKLAD,28939.5,68761.5,,,
275390,943,931207,VYDAJ,PREVOD NA UCET,2144.0,19491.9,,AB,8294791.0
292065,1000,931207,PRIJEM,PREVOD Z UCTU,47022.0,91174.2,,ST,87163465.0
737270,2519,931207,PRIJEM,PREVOD Z UCTU,5544.0,33199.9,DUCHOD,GH,5454445.0
840470,2861,931207,VYDAJ,VYBER,5600.0,25667.5,,,
1019943,3483,931207,PRIJEM,PREVOD Z UCTU,3260.0,6820.0,,IJ,84752761.0
709585,2427,931207,PRIJEM,VKLAD,7800.0,19100.0,,,
963590,3284,931208,PRIJEM,VKLAD,10963.5,36172.1,,,
1730581,5868,931208,VYBER,VYBER,13549.0,7352.5,,,
38184,123,931208,VYDAJ,VYBER,3500.0,23994.4,,,
36914,119,931208,VYDAJ,VYBER,2500.0,39775.9,,,
500347,1705,931208,PRIJEM,VKLAD,22555.5,52784.6,,,
451539,1535,931208,VYDAJ,PREVOD NA UCET,2757.0,22832.5,SIPO,UV,60955130.0
647503,2213,931208,VYDAJ,VYBER,6300.0,31372.4,,,
174790,588,931208,VYDAJ,PREVOD NA UCET,511.0,28867.1,POJISTNE,KL,40627336.0
129653,435,931208,VYDAJ,VYBER,850.0,21434.0,,,
3302786,10973,931208,VYBER,VYBER,17538.0,64407.2,,,
1246457,4264,931208,PRIJEM,VKLAD,32250.0,32450.0,,,
434664,1477,931208,PRIJEM,PREVOD Z UCTU,3151.0,20729.7,,KL,92373114.0
294492,1006,931208,PRIJEM,PREVOD Z UCTU,3737.0,30569.3,,WX,6088287.0
294708,1006,931208,VYDAJ,PREVOD NA UCET,60.0,30509.3,POJISTNE,EF,76910799.0
1103978,3771,931208,VYDAJ,VYBER,15100.0,44236.5,,,
725835,2484,931208,VYDAJ,PREVOD NA UCET,2343.0,33027.8,SIPO,OP,3728384.0
593941,2022,931208,VYDAJ,VYBER,1200.0,22202.9,,,
382465,1299,931208,VYDAJ,PREVOD NA UCET,317.0,27125.8,SIPO,CD,17364889.0
382393,1299,931208,PRIJEM,PREVOD Z UCTU,3913.0,29733.8,,CD,49405068.0
382537,1299,931208,VYDAJ,PREVOD NA UCET,2291.0,27442.8, ,GH,4791987.0
66010,220,931208,PRIJEM,PREVOD Z UCTU,5271.0,27590.3,DUCHOD,IJ,9426391.0
523278,1786,931208,VYDAJ,PREVOD NA UCET,8818.0,23132.6,SIPO,QR,45089298.0
3110680,10320,931208,VYDAJ,VYBER,16200.0,40673.5,,,
610243,2078,931208,PRIJEM,VKLAD,21949.5,59428.5,,,
882373,3007,931208,PRIJEM,VKLAD,33678.0,71283.3,,,
248284,854,931208,PRIJEM,VKLAD,15608.0,40826.0,,,
1048380,3586,931208,PRIJEM,VKLAD,19426.0,58626.1,,,
1163175,3982,931208,PRIJEM,PREVOD Z UCTU,3230.0,16850.0,,GH,65810519.0
1163247,3982,931208,VYDAJ,PREVOD NA UCET,2153.0,14697.0,SIPO,OP,15246630.0
756291,2581,931208,VYDAJ,PREVOD NA UCET,4769.0,34353.5,SIPO,OP,81132262.0
2349926,7753,931209,VYDAJ,VYBER,5400.0,25112.0,,,
963662,3284,931209,VYDAJ,PREVOD NA UCET,4872.0,31300.1,SIPO,MN,95121895.0
32371,104,931209,VYDAJ,PREVOD NA UCET,1464.0,17538.5,,ST,8965999.0
39604,128,931209,VYDAJ,VYBER,1300.0,23737.6,,,
641076,2189,931209,VYDAJ,PREVOD NA UCET,1449.0,39329.5,SIPO,UV,89534949.0
269824,925,931209,PRIJEM,VKLAD,27750.0,63927.5,,,
269896,925,931209,VYDAJ,PREVOD NA UCET,5395.0,58532.5,SIPO,AB,8015108.0
337094,1145,931209,VYDAJ,PREVOD NA UCET,478.0,13619.0,,IJ,24233013.0
1076508,3678,931209,PRIJEM,VKLAD,13352.0,29786.1,,,
175009,588,931209,VYDAJ,VYBER,800.0,28067.1,,,
1145397,3918,931209,PRIJEM,VKLAD,700.0,700.0,,,
740596,2528,931209,VYDAJ,VYBER,750.0,21488.2,,,
729082,2493,931209,VYDAJ,PREVOD NA UCET,5375.0,22076.4,SIPO,EF,91739165.0
2439227,8041,931209,VYDAJ,VYBER,2800.0,30955.0,,,
375188,1277,931209,PRIJEM,PREVOD Z UCTU,6248.0,29328.6,DUCHOD,IJ,36786365.0
1091946,3734,931209,PRIJEM,VKLAD,7408.0,33472.4,,,
523206,1786,931209,PRIJEM,VKLAD,26811.0,49943.6,,,
699304,2393,931209,VYDAJ,PREVOD NA UCET,4292.0,27186.1,SIPO,KL,70831024.0
3110285,10320,931209,PRIJEM,PREVOD Z UCTU,38960.0,79633.5,,AB,35140204.0
902814,3076,931209,VYDAJ,PREVOD NA UCET,2715.0,19126.0,SIPO,WX,67460548.0
882517,3007,931209,VYDAJ,PREVOD NA UCET,1405.0,69878.3, ,KL,5890685.0
292281,1000,931209,VYDAJ,PREVOD NA UCET,2852.0,86847.2,POJISTNE,OP,62838387.0
292209,1000,931209,VYDAJ,PREVOD NA UCET,1475.0,89699.2, ,CD,8467102.0
626581,2140,931209,PRIJEM,PREVOD Z UCTU,3478.0,15474.3,,ST,56615853.0
846877,2884,931209,VYDAJ,PREVOD NA UCET,3854.0,19909.8,SIPO,UV,41624492.0
710222,2429,931209,VYDAJ,PREVOD NA UCET,369.0,51391.9, ,GH,91816699.0
708165,2425,931209,VYDAJ,PREVOD NA UCET,5936.0,19201.6,SIPO,KL,64028662.0
710150,2429,931209,VYDAJ,PREVOD NA UCET,6786.0,44605.9,SIPO,QR,50382167.0
37967,123,931210,VYDAJ,PREVOD NA UCET,3016.0,20978.4,SIPO,KL,97764080.0
898828,3064,931210,VYDAJ,PREVOD NA UCET,1455.0,30609.5,SIPO,IJ,63995122.0
899045,3064,931210,VYDAJ,VYBER,2880.0,27729.5,,,
641220,2189,931210,VYDAJ,PREVOD NA UCET,2803.0,36526.5,POJISTNE,AB,32410866.0
472868,1610,931210,PRIJEM,VKLAD,36559.5,73182.9,,,
