account_id,district_id,frequency,date
751,3,POPLATEK MESICNE,930512
3284,64,POPLATEK MESICNE,930517
1610,52,POPLATEK MESICNE,930517
3064,40,POPLATEK MESICNE,930523
1786,1,POPLATEK MESICNE,930525
119,27,POPLATEK MESICNE,930525
3258,53,POPLATEK MESICNE,930605
3771,22,POPLATEK MESICNE,930611
2022,72,POPLATEK MESICNE,930611
1475,1,POPLATEK TYDNE,930614
2554,36,POPLATEK MESICNE,930618
773,15,POPLATEK MESICNE,930619
1277,31,POPLATEK MESICNE,930620
1299,1,POPLATEK MESICNE,930621
886,1,POPLATEK MESICNE,930623
2464,33,POPLATEK PO OBRATU,930702
1145,31,POPLATEK MESICNE,930703
1118,48,POPLATEK MESICNE,930704
9472,1,POPLATEK TYDNE,930706
2186,63,POPLATEK MESICNE,930707
2078,62,POPLATEK MESICNE,930708
2213,68,POPLATEK MESICNE,930711
10320,68,POPLATEK MESICNE,930711
3654,47,POPLATEK MESICNE,930713
3465,1,POPLATEK MESICNE,930716
757,50,POPLATEK MESICNE,930719
3493,63,POPLATEK MESICNE,930722
3287,18,POPLATEK MESICNE,930726
2123,64,POPLATEK MESICNE,930726
3982,26,POPLATEK MESICNE,930727
2701,71,POPLATEK MESICNE,930727
2732,5,POPLATEK MESICNE,930727
445,63,POPLATEK TYDNE,930729
1429,57,POPLATEK MESICNE,930730
1382,48,POPLATEK MESICNE,930803
6636,72,POPLATEK TYDNE,930804
3298,29,POPLATEK MESICNE,930804
3699,50,POPLATEK MESICNE,930805
2542,21,POPLATEK MESICNE,930807
2167,16,POPLATEK MESICNE,930808
5481,52,POPLATEK MESICNE,930816
942,9,POPLATEK MESICNE,930816
3891,1,POPLATEK MESICNE,930818
9236,11,POPLATEK MESICNE,930818
2510,61,POPLATEK MESICNE,930828
6051,56,POPLATEK MESICNE,930828
3319,56,POPLATEK MESICNE,930829
10451,1,POPLATEK MESICNE,930829
172,13,POPLATEK MESICNE,930830
3920,74,POPLATEK MESICNE,930901
3011,64,POPLATEK MESICNE,930901
1337,23,POPLATEK MESICNE,930901
1719,1,POPLATEK MESICNE,930906
3456,32,POPLATEK MESICNE,930906
750,73,POPLATEK MESICNE,930912
9337,30,POPLATEK MESICNE,930913
1234,6,POPLATEK MESICNE,930913
1705,70,POPLATEK MESICNE,930915
2282,29,POPLATEK TYDNE,930917
837,46,POPLATEK MESICNE,930918
854,62,POPLATEK MESICNE,930921
1831,1,POPLATEK MESICNE,930921
1440,55,POPLATEK MESICNE,930922
2617,1,POPLATEK MESICNE,930924
3618,29,POPLATEK MESICNE,930929
1016,40,POPLATEK MESICNE,930929
1485,36,POPLATEK MESICNE,931003
5387,1,POPLATEK MESICNE,931005
1120,1,POPLATEK MESICNE,931005
4543,33,POPLATEK MESICNE,931008
2427,70,POPLATEK TYDNE,931008
4013,73,POPLATEK PO OBRATU,931008
8041,1,POPLATEK MESICNE,931010
624,70,POPLATEK MESICNE,931011
3483,40,POPLATEK MESICNE,931012
931,59,POPLATEK MESICNE,931015
102,11,POPLATEK MESICNE,931016
4287,1,POPLATEK MESICNE,931017
2140,75,POPLATEK MESICNE,931021
2667,23,POPLATEK MESICNE,931023
397,11,POPLATEK MESICNE,931026
2180,45,POPLATEK MESICNE,931027
1495,36,POPLATEK MESICNE,931101
2435,38,POPLATEK MESICNE,931101
340,1,POPLATEK MESICNE,931103
520,60,POPLATEK MESICNE,931104
1809,1,POPLATEK TYDNE,931112
8957,1,POPLATEK MESICNE,931113
2557,40,POPLATEK MESICNE,931117
3107,5,POPLATEK MESICNE,931120
498,1,POPLATEK MESICNE,931121
5991,1,POPLATEK MESICNE,931121
10788,67,POPLATEK TYDNE,931122
2989,4,POPLATEK MESICNE,931128
426,1,POPLATEK MESICNE,931129
4526,63,POPLATEK MESICNE,931129
1314,48,POPLATEK MESICNE,931203
437,43,POPLATEK MESICNE,931203
2588,5,POPLATEK MESICNE,931204
4264,28,POPLATEK MESICNE,931207
3918,53,POPLATEK MESICNE,931209
2476,32,POPLATEK MESICNE,931212
180,55,POPLATEK TYDNE,931214
1792,7,POPLATEK MESICNE,931216
1768,15,POPLATEK MESICNE,931220
1882,1,POPLATEK MESICNE,931221
1959,62,POPLATEK MESICNE,931224
2842,14,POPLATEK MESICNE,931229
4356,47,POPLATEK MESICNE,940126
3667,55,POPLATEK MESICNE,940126
2628,64,POPLATEK PO OBRATU,940206
1470,19,POPLATEK MESICNE,940210
3184,1,POPLATEK MESICNE,940218
2675,1,POPLATEK MESICNE,940219
2959,8,POPLATEK MESICNE,940225
1880,76,POPLATEK MESICNE,940225
3355,70,POPLATEK MESICNE,940226
1570,1,POPLATEK MESICNE,940312
2228,34,POPLATEK MESICNE,940319
470,64,POPLATEK MESICNE,940323
59,43,POPLATEK MESICNE,940327
2799,54,POPLATEK TYDNE,940403
900,48,POPLATEK MESICNE,940426
1375,19,POPLATEK MESICNE,940427
3595,30,POPLATEK MESICNE,940501
2511,40,POPLATEK MESICNE,940501
524,61,POPLATEK MESICNE,940503
50,1,POPLATEK MESICNE,940506
2454,8,POPLATEK MESICNE,940507
266,47,POPLATEK MESICNE,940511
2170,1,POPLATEK PO OBRATU,940519
4195,67,POPLATEK MESICNE,940521
3636,21,POPLATEK MESICNE,940522
2227,31,POPLATEK TYDNE,940522
6924,74,POPLATEK MESICNE,940601
700,20,POPLATEK MESICNE,940601
2922,16,POPLATEK MESICNE,940606
1012,65,POPLATEK MESICNE,940709
3503,1,POPLATEK MESICNE,940717
1022,33,POPLATEK TYDNE,940801
610,74,POPLATEK MESICNE,940811
2747,1,POPLATEK MESICNE,940814
635,21,POPLATEK MESICNE,940821
7523,63,POPLATEK MESICNE,940829
2596,1,POPLATEK MESICNE,940902
6321,1,POPLATEK MESICNE,940910
1878,52,POPLATEK TYDNE,940913
1908,20,POPLATEK MESICNE,940913
851,15,POPLATEK MESICNE,940923
939,55,POPLATEK MESICNE,941004
2363,47,POPLATEK MESICNE,941007
3622,53,POPLATEK MESICNE,941015
3756,39,POPLATEK TYDNE,941017
2949,1,POPLATEK MESICNE,941021
1295,15,POPLATEK MESICNE,941028
1168,29,POPLATEK MESICNE,941103
2365,42,POPLATEK MESICNE,941104
3663,67,POPLATEK MESICNE,941106
2572,64,POPLATEK PO OBRATU,941113
5632,5,POPLATEK TYDNE,941115
1708,22,POPLATEK MESICNE,941121
106,63,POPLATEK MESICNE,941127
9731,54,POPLATEK PO OBRATU,941201
1578,48,POPLATEK MESICNE,941201
2121,64,POPLATEK MESICNE,941205
3489,9,POPLATEK MESICNE,941208
1011,45,POPLATEK MESICNE,941217
775,1,POPLATEK MESICNE,941218
4503,50,POPLATEK MESICNE,950103
2239,25,POPLATEK MESICNE,950105
3128,1,POPLATEK MESICNE,950106
3141,1,POPLATEK TYDNE,950106
5650,10,POPLATEK PO OBRATU,950108
3362,73,POPLATEK MESICNE,950125
1112,48,POPLATEK MESICNE,950203
2718,29,POPLATEK MESICNE,950205
789,39,POPLATEK MESICNE,950206
1967,26,POPLATEK TYDNE,950213
3297,53,POPLATEK MESICNE,950217
2431,74,POPLATEK MESICNE,950223
1778,15,POPLATEK MESICNE,950225
2865,1,POPLATEK MESICNE,950303
3014,75,POPLATEK TYDNE,950303
1287,35,POPLATEK MESICNE,950304
9897,1,POPLATEK MESICNE,950304
3826,34,POPLATEK MESICNE,950305
1802,75,POPLATEK MESICNE,950310
586,54,POPLATEK MESICNE,950316
767,25,POPLATEK MESICNE,950326
2540,54,POPLATEK MESICNE,950401
5126,58,POPLATEK MESICNE,950403
231,22,POPLATEK MESICNE,950403
2203,47,POPLATEK MESICNE,950404
1986,46,POPLATEK MESICNE,950404
206,61,POPLATEK MESICNE,950408
7136,12,POPLATEK TYDNE,950409
893,53,POPLATEK MESICNE,950412
2726,18,POPLATEK MESICNE,950420
1038,64,POPLATEK MESICNE,950420
267,38,POPLATEK MESICNE,950426
2751,31,POPLATEK MESICNE,950428
1010,61,POPLATEK MESICNE,950501
2931,36,POPLATEK MESICNE,950504
3940,35,POPLATEK TYDNE,950507
4538,70,POPLATEK MESICNE,950507
2919,77,POPLATEK MESICNE,950510
544,32,POPLATEK MESICNE,950515
490,45,POPLATEK MESICNE,950523
2969,29,POPLATEK MESICNE,950526
3624,32,POPLATEK TYDNE,950530
1420,68,POPLATEK MESICNE,950608
1620,17,POPLATEK MESICNE,950608
1696,43,POPLATEK MESICNE,950609
1793,56,POPLATEK MESICNE,950610
808,69,POPLATEK MESICNE,950613
3124,6,POPLATEK MESICNE,950613
2328,35,POPLATEK MESICNE,950614
458,7,POPLATEK MESICNE,950616
7184,5,POPLATEK MESICNE,950619
3810,43,POPLATEK MESICNE,950622
1728,74,POPLATEK MESICNE,950623
1597,68,POPLATEK MESICNE,950704
4330,47,POPLATEK MESICNE,950705
3330,76,POPLATEK MESICNE,950708
731,5,POPLATEK MESICNE,950711
4263,5,POPLATEK MESICNE,950717
1994,42,POPLATEK MESICNE,950719
1927,42,POPLATEK MESICNE,950804
2608,19,POPLATEK MESICNE,950809
11138,70,POPLATEK TYDNE,950818
531,31,POPLATEK MESICNE,950818
3582,19,POPLATEK MESICNE,950826
3553,70,POPLATEK MESICNE,950830
3269,37,POPLATEK MESICNE,950903
3925,1,POPLATEK MESICNE,950905
2456,65,POPLATEK MESICNE,950909
2358,7,POPLATEK MESICNE,950913
3010,46,POPLATEK MESICNE,950913
5125,1,POPLATEK MESICNE,950914
9377,1,POPLATEK MESICNE,950917
3770,23,POPLATEK MESICNE,950920
1335,54,POPLATEK MESICNE,950921
8,57,POPLATEK MESICNE,950921
676,39,POPLATEK MESICNE,950922
331,65,POPLATEK MESICNE,951002
2835,73,POPLATEK MESICNE,951003
2565,74,POPLATEK MESICNE,951004
3944,22,POPLATEK MESICNE,951008
1742,68,POPLATEK MESICNE,951008
1089,74,POPLATEK MESICNE,951010
2235,45,POPLATEK MESICNE,951022
1426,40,POPLATEK MESICNE,951027
1403,17,POPLATEK MESICNE,951102
3111,60,POPLATEK MESICNE,951108
1044,14,POPLATEK MESICNE,951109
1945,56,POPLATEK MESICNE,951109
1599,57,POPLATEK MESICNE,951110
2550,67,POPLATEK MESICNE,951111
3572,65,POPLATEK MESICNE,951112
348,25,POPLATEK MESICNE,951115
933,21,POPLATEK MESICNE,951118
3229,64,POPLATEK MESICNE,951118
2783,43,POPLATEK MESICNE,951123
565,39,POPLATEK MESICNE,951125
557,1,POPLATEK MESICNE,951126
3783,40,POPLATEK MESICNE,951129
3689,8,POPLATEK MESICNE,951129
1685,28,POPLATEK MESICNE,951213
1469,67,POPLATEK MESICNE,951215
5477,57,POPLATEK MESICNE,951217
1212,70,POPLATEK MESICNE,951218
809,36,POPLATEK MESICNE,951220
2159,1,POPLATEK MESICNE,960101
1455,66,POPLATEK MESICNE,960103
2233,43,POPLATEK MESICNE,960103
2548,57,POPLATEK MESICNE,960106
2567,17,POPLATEK MESICNE,960107
2153,31,POPLATEK TYDNE,960107
1483,10,POPLATEK MESICNE,960109
1591,65,POPLATEK MESICNE,960110
658,4,POPLATEK MESICNE,960110
3673,30,POPLATEK MESICNE,960112
5267,4,POPLATEK MESICNE,960112
1196,29,POPLATEK MESICNE,960116
335,74,POPLATEK MESICNE,960120
3832,45,POPLATEK MESICNE,960122
554,26,POPLATEK MESICNE,960126
2214,45,POPLATEK MESICNE,960127
1439,11,POPLATEK MESICNE,960127
355,62,POPLATEK TYDNE,960201
2702,74,POPLATEK MESICNE,960201
6512,34,POPLATEK TYDNE,960203
1963,42,POPLATEK MESICNE,960203
1623,1,POPLATEK MESICNE,960204
3890,50,POPLATEK MESICNE,960210
1611,69,POPLATEK MESICNE,960211
2390,1,POPLATEK MESICNE,960212
3335,35,POPLATEK MESICNE,960218
2074,12,POPLATEK MESICNE,960218
3754,37,POPLATEK TYDNE,960219
2403,25,POPLATEK MESICNE,960220
4,12,POPLATEK MESICNE,960221
1310,1,POPLATEK MESICNE,960222
1585,42,POPLATEK MESICNE,960223
590,50,POPLATEK MESICNE,960224
2772,11,POPLATEK MESICNE,960224
5593,15,POPLATEK MESICNE,960227
3409,23,POPLATEK MESICNE,960301
3366,68,POPLATEK MESICNE,960302
3943,71,POPLATEK MESICNE,960306
3263,44,POPLATEK MESICNE,960307
3974,55,POPLATEK MESICNE,960308
4361,69,POPLATEK MESICNE,960311
4273,15,POPLATEK MESICNE,960311
3994,15,POPLATEK MESICNE,960314
666,27,POPLATEK MESICNE,960315
9242,57,POPLATEK MESICNE,960315
3130,13,POPLATEK MESICNE,960320
3605,3,POPLATEK MESICNE,960324
208,54,POPLATEK MESICNE,960327
3422,21,POPLATEK MESICNE,960328
10049,17,POPLATEK MESICNE,960328
2631,1,POPLATEK MESICNE,960329
1847,47,POPLATEK MESICNE,960404
3632,56,POPLATEK TYDNE,960406
1920,40,POPLATEK MESICNE,960408
1473,39,POPLATEK MESICNE,960416
3021,10,POPLATEK MESICNE,960420
2287,1,POPLATEK MESICNE,960421
1709,24,POPLATEK MESICNE,960423
4488,33,POPLATEK MESICNE,960424
7997,10,POPLATEK MESICNE,960425
1542,1,POPLATEK MESICNE,960425
3178,4,POPLATEK MESICNE,960427
2730,23,POPLATEK MESICNE,960502
3648,61,POPLATEK MESICNE,960506
706,49,POPLATEK MESICNE,960507
913,59,POPLATEK MESICNE,960510
491,44,POPLATEK MESICNE,960512
360,32,POPLATEK MESICNE,960514
2752,74,POPLATEK MESICNE,960515
3495,54,POPLATEK MESICNE,960517
580,75,POPLATEK MESICNE,960520
8972,70,POPLATEK MESICNE,960521
3055,15,POPLATEK MESICNE,960526
3240,35,POPLATEK TYDNE,960529
1124,26,POPLATEK MESICNE,960602
3448,58,POPLATEK TYDNE,960606
409,1,POPLATEK MESICNE,960611
2397,70,POPLATEK MESICNE,960614
2603,9,POPLATEK MESICNE,960614
2870,1,POPLATEK MESICNE,960618
1097,67,POPLATEK MESICNE,960622
2773,38,POPLATEK MESICNE,960623
1781,10,POPLATEK MESICNE,960623
2420,35,POPLATEK MESICNE,960625
3432,1,POPLATEK MESICNE,960625
1396,46,POPLATEK MESICNE,960626
2950,62,POPLATEK MESICNE,960628
1004,70,POPLATEK MESICNE,960702
88,31,POPLATEK MESICNE,960703
7101,54,POPLATEK MESICNE,960706
725,70,POPLATEK MESICNE,960708
10202,70,POPLATEK MESICNE,960708
690,10,POPLATEK MESICNE,960711
2945,6,POPLATEK MESICNE,960711
2131,70,POPLATEK MESICNE,960711
2887,76,POPLATEK MESICNE,960713
858,52,POPLATEK MESICNE,960713
3726,54,POPLATEK MESICNE,960714
2266,50,POPLATEK MESICNE,960719
137,70,POPLATEK MESICNE,960719
3543,74,POPLATEK MESICNE,960721
1471,1,POPLATEK MESICNE,960721
2652,1,POPLATEK MESICNE,960722
6453,34,POPLATEK MESICNE,960727
4389,77,POPLATEK MESICNE,960728
3359,8,POPLATEK MESICNE,960730
9159,64,POPLATEK MESICNE,960802
1501,50,POPLATEK MESICNE,960811
2114,30,POPLATEK MESICNE,960811
176,71,POPLATEK TYDNE,960812
3741,65,POPLATEK MESICNE,960818
7637,46,POPLATEK MESICNE,960819
4480,58,POPLATEK MESICNE,960819
4969,60,POPLATEK TYDNE,960819
166,17,POPLATEK MESICNE,960820
10562,51,POPLATEK MESICNE,960821
3004,11,POPLATEK MESICNE,960822
1517,5,POPLATEK MESICNE,960824
6062,24,POPLATEK MESICNE,960828
812,1,POPLATEK MESICNE,960830
2347,38,POPLATEK MESICNE,960830
871,1,POPLATEK MESICNE,960902
3126,17,POPLATEK MESICNE,960903
406,63,POPLATEK MESICNE,960903
2885,1,POPLATEK MESICNE,960904
5362,76,POPLATEK TYDNE,960906
2058,34,POPLATEK MESICNE,960909
1067,34,POPLATEK MESICNE,960910
2164,63,POPLATEK MESICNE,960912
1799,9,POPLATEK MESICNE,960913
1066,16,POPLATEK TYDNE,960915
5305,47,POPLATEK MESICNE,960916
3098,1,POPLATEK MESICNE,960916
2990,30,POPLATEK MESICNE,960916
3800,30,POPLATEK MESICNE,960916
1063,68,POPLATEK MESICNE,960919
2906,49,POPLATEK MESICNE,960920
2640,1,POPLATEK MESICNE,960921
3431,64,POPLATEK MESICNE,960921
1377,1,POPLATEK MESICNE,960925
1308,54,POPLATEK MESICNE,960925
3399,63,POPLATEK MESICNE,960926
1374,53,POPLATEK MESICNE,960926
3339,1,POPLATEK MESICNE,960927
2869,68,POPLATEK MESICNE,960927
2083,1,POPLATEK MESICNE,960928
2294,46,POPLATEK MESICNE,960929
2483,1,POPLATEK MESICNE,960929
618,1,POPLATEK MESICNE,961002
3843,62,POPLATEK MESICNE,961002
3071,41,POPLATEK MESICNE,961003
1003,28,POPLATEK MESICNE,961010
3249,74,POPLATEK MESICNE,961011
3271,8,POPLATEK MESICNE,961012
10063,4,POPLATEK TYDNE,961013
581,26,POPLATEK MESICNE,961013
4949,33,POPLATEK MESICNE,961014
11325,62,POPLATEK MESICNE,961015
6592,1,POPLATEK MESICNE,961020
224,15,POPLATEK MESICNE,961027
4715,8,POPLATEK MESICNE,961028
6265,5,POPLATEK MESICNE,961101
926,36,POPLATEK MESICNE,961101
2685,67,POPLATEK MESICNE,961101
3557,72,POPLATEK MESICNE,961102
3626,51,POPLATEK MESICNE,961105
4753,1,POPLATEK MESICNE,961107
1326,52,POPLATEK MESICNE,961111
3177,74,POPLATEK MESICNE,961112
2967,38,POPLATEK MESICNE,961113
993,6,POPLATEK MESICNE,961114
2385,60,POPLATEK MESICNE,961115
4069,38,POPLATEK MESICNE,961117
3564,14,POPLATEK MESICNE,961117
508,74,POPLATEK MESICNE,961119
2285,36,POPLATEK MESICNE,961121
2264,41,POPLATEK MESICNE,961122
2398,70,POPLATEK MESICNE,961125
2590,47,POPLATEK MESICNE,961204
3312,30,POPLATEK MESICNE,961204
7176,1,POPLATEK MESICNE,961207
3290,19,POPLATEK MESICNE,961209
4631,77,POPLATEK PO OBRATU,961212
2873,70,POPLATEK MESICNE,961213
3984,51,POPLATEK MESICNE,961214
6510,74,POPLATEK MESICNE,961218
7465,1,POPLATEK TYDNE,961219
2441,47,POPLATEK MESICNE,961222
2777,62,POPLATEK MESICNE,961225
3941,7,POPLATEK MESICNE,961226
1195,42,POPLATEK MESICNE,961227
2261,1,POPLATEK TYDNE,961227
2852,70,POPLATEK MESICNE,961229
2689,70,POPLATEK MESICNE,970101
9730,54,POPLATEK MESICNE,970101
3540,18,POPLATEK MESICNE,970103
4660,63,POPLATEK MESICNE,970103
3375,9,POPLATEK MESICNE,970115
9549,4,POPLATEK MESICNE,970117
1853,7,POPLATEK MESICNE,970129
3067,46,POPLATEK MESICNE,970130
3659,54,POPLATEK MESICNE,970201
1656,47,POPLATEK MESICNE,970201
3794,20,POPLATEK MESICNE,970203
3990,77,POPLATEK MESICNE,970204
2021,69,POPLATEK MESICNE,970205
3633,18,POPLATEK MESICNE,970206
4026,58,POPLATEK MESICNE,970206
3620,14,POPLATEK MESICNE,970206
4550,56,POPLATEK MESICNE,970206
11141,1,POPLATEK TYDNE,970211
1182,8,POPLATEK MESICNE,970211
130,54,POPLATEK MESICNE,970212
1430,26,POPLATEK MESICNE,970213
2656,1,POPLATEK MESICNE,970218
1619,38,POPLATEK MESICNE,970224
1336,5,POPLATEK MESICNE,970226
1215,65,POPLATEK MESICNE,970304
214,22,POPLATEK MESICNE,970309
3971,75,POPLATEK MESICNE,970313
405,55,POPLATEK MESICNE,970313
1740,57,POPLATEK MESICNE,970313
114,60,POPLATEK MESICNE,970314
2760,10,POPLATEK MESICNE,970314
2908,61,POPLATEK MESICNE,970316
2354,7,POPLATEK MESICNE,970317
2690,66,POPLATEK MESICNE,970319
8926,1,POPLATEK MESICNE,970321
578,28,POPLATEK TYDNE,970321
749,38,POPLATEK MESICNE,970323
3885,51,POPLATEK MESICNE,970401
2725,52,POPLATEK MESICNE,970402
1138,41,POPLATEK MESICNE,970407
1915,2,POPLATEK MESICNE,970414
2586,57,POPLATEK MESICNE,970416
3012,49,POPLATEK MESICNE,970418
3830,56,POPLATEK MESICNE,970420
2080,74,POPLATEK MESICNE,970427
2857,19,POPLATEK MESICNE,970428
647,1,POPLATEK MESICNE,970428
1024,19,POPLATEK MESICNE,970502
3773,10,POPLATEK MESICNE,970504
3988,23,POPLATEK MESICNE,970504
8149,64,POPLATEK PO OBRATU,970514
2743,51,POPLATEK MESICNE,970522
760,1,POPLATEK MESICNE,970524
1724,48,POPLATEK MESICNE,970607
682,54,POPLATEK MESICNE,970608
3211,72,POPLATEK MESICNE,970609
3060,73,POPLATEK MESICNE,970609
2019,64,POPLATEK MESICNE,970611
7180,7,POPLATEK TYDNE,970612
2509,43,POPLATEK MESICNE,970613
3262,23,POPLATEK MESICNE,970622
438,37,POPLATEK MESICNE,970623
4156,42,POPLATEK MESICNE,970627
1346,74,POPLATEK MESICNE,970701
10774,46,POPLATEK MESICNE,970705
2728,52,POPLATEK TYDNE,970706
3,5,POPLATEK MESICNE,970707
3529,12,POPLATEK MESICNE,970708
11317,50,POPLATEK MESICNE,970711
2182,22,POPLATEK MESICNE,970712
469,72,POPLATEK MESICNE,970714
1454,46,POPLATEK MESICNE,970725
5758,44,POPLATEK MESICNE,970728
3185,45,POPLATEK MESICNE,970729
311,50,POPLATEK MESICNE,970808
3293,1,POPLATEK MESICNE,970808
2776,23,POPLATEK MESICNE,970810
792,3,POPLATEK MESICNE,970813
2073,59,POPLATEK MESICNE,970814
13,76,POPLATEK MESICNE,970817
2829,66,POPLATEK MESICNE,970818
529,39,POPLATEK MESICNE,970818
10799,76,POPLATEK MESICNE,970819
2845,62,POPLATEK MESICNE,970821
4003,25,POPLATEK MESICNE,970822
2394,62,POPLATEK MESICNE,970823
1729,53,POPLATEK MESICNE,970908
2459,55,POPLATEK MESICNE,970910
7156,71,POPLATEK MESICNE,970911
3603,3,POPLATEK MESICNE,970917
328,1,POPLATEK MESICNE,970918
1101,4,POPLATEK MESICNE,970922
3610,1,POPLATEK MESICNE,970922
1814,17,POPLATEK MESICNE,970923
1718,71,POPLATEK MESICNE,970923
2461,1,POPLATEK MESICNE,970928
1596,70,POPLATEK MESICNE,971005
4116,6,POPLATEK MESICNE,971005
1150,29,POPLATEK MESICNE,971008
3813,1,POPLATEK MESICNE,971009
502,1,POPLATEK MESICNE,971013
3561,33,POPLATEK MESICNE,971015
2053,5,POPLATEK MESICNE,971016
2579,24,POPLATEK MESICNE,971018
1615,1,POPLATEK MESICNE,971020
2756,24,POPLATEK MESICNE,971021
2371,15,POPLATEK TYDNE,971023
639,1,POPLATEK MESICNE,971103
10613,55,POPLATEK MESICNE,971104
2402,18,POPLATEK MESICNE,971106
2391,2,POPLATEK MESICNE,971107
867,60,POPLATEK MESICNE,971109
1348,55,POPLATEK MESICNE,971112
2920,73,POPLATEK MESICNE,971113
2438,71,POPLATEK MESICNE,971116
1866,4,POPLATEK MESICNE,971117
2162,50,POPLATEK MESICNE,971121
1798,46,POPLATEK MESICNE,971128
1650,39,POPLATEK MESICNE,971206
673,31,POPLATEK MESICNE,971208
315,45,POPLATEK MESICNE,971208
3209,45,POPLATEK MESICNE,971210
3169,19,POPLATEK MESICNE,971219
246,65,POPLATEK MESICNE,971220
889,43,POPLATEK MESICNE,971222
4332,74,POPLATEK MESICNE,971223
727,35,POPLATEK MESICNE,971225
3958,59,POPLATEK MESICNE,971228
