client_id,num_loans,loan_amount_total_usd,loan_amount_avg_usd,loan_amount_max_usd,loan_amount_min_usd,loan_duration_avg,loan_duration_max,loan_duration_min,loan_payment_avg_usd,loan_payment_max_usd,loan_payment_min_usd,loan_status_all,first_loan_date,last_loan_date,loan_id,car_loan,personal_loan,home_loan,business_loan
10963,1,4762.92,4762.92,4762.92,4762.92,60.0,60,60,79.382,79.382,79.382,C,951225,951225,6785,0,0,1,0
11314,1,4829.04,4829.04,4829.04,4829.04,60.0,60,60,80.484,80.484,80.484,A,930728,930728,6863,0,0,1,0
11327,1,1119.024,1119.024,1119.024,1119.024,12.0,12,12,93.252,93.252,93.252,B,960911,960911,6865,0,0,1,0
11405,1,1503.888,1503.888,1503.888,1503.888,12.0,12,12,125.324,125.324,125.324,A,970508,970508,6887,0,0,1,0
11686,1,4439.616,4439.616,4439.616,4439.616,12.0,12,12,369.968,369.968,369.968,A,970209,970209,6934,0,0,1,0
12382,1,2956.7039999999997,2956.7039999999997,2956.7039999999997,2956.7039999999997,12.0,12,12,246.392,246.392,246.392,A,970728,970728,7051,0,0,1,0
12616,1,1436.856,1436.856,1436.856,1436.856,12.0,12,12,119.738,119.738,119.738,C,980902,980902,7096,0,0,1,0
12729,1,1187.8799999999999,1187.8799999999999,1187.8799999999999,1187.8799999999999,12.0,12,12,98.99,98.99,98.99,C,980121,980121,7110,0,0,1,0
13285,1,2563.632,2563.632,2563.632,2563.632,12.0,12,12,213.636,213.636,213.636,A,970307,970307,7201,0,0,1,0
13803,1,3392.64,3392.64,3392.64,3392.64,12.0,12,12,282.71999999999997,282.71999999999997,282.71999999999997,A,971024,971024,7277,0,0,1,0
13845,1,2005.944,2005.944,2005.944,2005.944,12.0,12,12,167.162,167.162,167.162,A,930915,930915,7284,0,0,1,0
