client_id;account_id;disp_id;loan_id;status;amount;duration;payments
7683;6363;7683;6297;A;17508;12;1459.00
1216;1012;1216;5161;A;98184;24;4091.00
2623;2167;2623;5390;A;170256;24;7094.00
6789;5622;6789;6150;A;83016;12;6918.00
7241;5991;7241;6223;A;61056;48;1272.00
352;290;352;5032;A;123696;48;2577.00
7422;6148;7422;6253;A;59760;24;2490.00
8610;7133;8610;6460;A;48672;36;1352.00
9933;8041;9625;6645;A;140400;36;3900.00
1327;1106;1327;5176;B;192552;24;8023.00
1851;1527;1851;5269;B;164052;36;4557.00
2403;1978;2403;5351;A;205200;36;5700.00
5224;4337;5224;5861;A;51408;24;2142.00
2834;2345;2834;5450;C;199680;60;3328.00
12859;10451;12551;7142;D;482940;60;8049.00
7753;6425;7753;6306;A;36684;12;3057.00
7521;6226;7521;6272;C;398640;60;6644.00
421;344;421;5044;C;100980;60;1683.00
3576;2962;3576;5576;A;31248;12;2604.00
13201;10738;12893;7192;A;115992;36;3222.00
4520;3747;4520;5739;A;76380;12;6365.00
9316;7523;9008;6526;A;288468;36;8013.00
3829;3166;3829;5624;D;177744;48;3703.00
7390;6118;7390;6244;B;270648;36;7518.00
980;816;980;5131;A;48624;24;2026.00
11866;9640;11558;6960;A;76416;24;3184.00
8105;6715;8105;6358;D;137880;60;2298.00
2719;2245;2719;5418;C;347952;48;7249.00
9715;7857;9407;6598;A;68112;12;5676.00
2922;2419;2922;5464;A;95808;12;7984.00
9670;7819;9362;6591;C;20832;48;434.00
4433;3678;4433;5724;D;316140;60;5269.00
7814;6472;7814;6315;A;43164;12;3597.00
5318;4413;5318;5876;C;221280;48;4610.00
12003;9750;11695;6986;D;151728;48;3161.00
7672;6353;7672;6294;C;79920;60;1332.00
981;817;981;5132;C;538500;60;8975.00
5320;4414;5320;5877;A;97224;24;4051.00
7286;6030;7286;6227;A;28248;24;1177.00
13548;11021;13240;7241;B;168984;24;7041.00
10563;8564;10255;6737;A;76680;24;3195.00
12144;9869;11836;7004;C;331560;60;5526.00
6895;5700;6895;6169;D;103680;60;1728.00
1505;1247;1505;5208;D;99696;48;2077.00
10269;8316;9961;6694;A;134784;24;5616.00
3705;3064;3705;5599;A;15420;12;1285.00
9418;7607;9110;6546;A;31728;24;1322.00
2700;2228;2700;5414;C;185952;48;3874.00
2853;2361;2853;5453;A;156672;36;4352.00
4527;3752;4527;5740;A;18564;12;1547.00
4916;4079;4916;5804;C;158976;48;3312.00
10636;8625;10328;6745;A;47304;24;1971.00
11804;9591;11496;6950;A;104712;24;4363.00
12095;9828;11787;6996;A;126600;24;5275.00
2422;1993;2422;5352;B;68400;12;5700.00
6798;5628;6798;6151;C;225420;60;3757.00
2136;1762;2136;5310;A;248148;36;6893.00
424;347;424;5045;B;187224;24;7801.00
11662;9472;11354;6929;A;36396;12;3033.00
1157;960;1157;5151;C;189060;60;3151.00
1516;1256;1516;5212;A;71064;36;1974.00
1029;854;1029;5138;C;87216;48;1817.00
4377;3629;4377;5713;C;158760;60;2646.00
10350;8377;10042;6704;C;417060;60;6951.00
8677;7190;8677;6474;C;63360;60;1056.00
10076;8159;9768;6676;A;29784;24;1241.00
11886;9656;11578;6965;A;139536;24;5814.00
10475;8489;10167;6725;A;265320;36;7370.00
13071;10630;12763;7166;A;198240;24;8260.00
12844;10440;12536;7138;C;60000;60;1000.00
5760;4774;5760;5970;C;465072;48;9689.00
6829;5650;6829;6157;A;98592;24;4108.00
6803;5632;6803;6153;C;285600;60;4760.00
4217;3489;4217;5693;A;44088;24;1837.00
5521;4580;5521;5922;A;20220;12;1685.00
5701;4727;5701;5959;A;107640;24;4485.00
5826;4825;5826;5980;A;21396;12;1783.00
10818;8776;10510;6764;C;33984;48;708.00
1663;1375;1663;5237;A;45336;24;1889.00
10479;8492;10171;6726;C;85860;60;1431.00
11685;9493;11377;6933;C;188688;48;3931.00
1102;915;1102;5145;C;309552;48;6449.00
12181;9897;11873;7008;A;36168;12;3014.00
13451;10942;13143;7227;C;314520;60;5242.00
9721;7861;9413;6600;A;21852;36;607.00
10382;8405;10074;6712;C;266220;60;4437.00
12416;10093;12108;7057;A;231696;36;6436.00
13113;10663;12805;7176;A;260028;36;7223.00
13955;11349;13647;7304;C;419880;60;6998.00
8130;6738;8130;6362;A;37908;12;3159.00
5333;4423;5333;5880;A;73836;36;2051.00
9346;7546;9038;6535;A;41952;12;3496.00
2831;2343;2831;5449;A;99336;24;4139.00
7980;6609;7980;6342;B;60156;36;1671.00
2686;2218;2686;5409;C;182040;60;3034.00
11851;9627;11543;6955;C;244368;48;5091.00
11978;9731;11670;6985;A;113796;36;3161.00
944;789;944;5125;C;73056;48;1522.00
4918;4081;4918;5805;B;137904;24;5746.00
6987;5774;6987;6185;A;31176;24;1299.00
13576;11042;13268;7243;A;217152;36;6032.00
8359;6924;8359;6403;C;194880;48;4060.00
9606;7765;9298;6578;A;27984;12;2332.00
2698;2227;2698;5413;A;92976;24;3874.00
11794;9583;11486;6949;A;104712;24;4363.00
9417;7606;9109;6545;C;191880;60;3198.00
6946;5742;6946;6178;C;232560;48;4845.00
1215;1011;1215;5160;C;204000;60;3400.00
10963;8899;10655;6785;C;125340;60;2089.00
9366;7562;9058;6540;C;309600;48;6450.00
9663;7815;9355;6589;A;189696;24;7904.00
5433;4503;5433;5900;C;135360;48;2820.00
5928;4907;5928;5999;C;98832;48;2059.00
6185;5126;6185;6043;C;20352;48;424.00
3013;2496;3013;5482;C;165120;60;2752.00
13690;11138;13382;7263;A;89880;24;3745.00
6034;4995;6034;6013;D;128988;36;3583.00
4584;3804;4584;5750;A;63252;12;5271.00
6115;5066;6115;6027;B;61656;24;2569.00
7727;6400;7727;6303;B;72408;24;3017.00
13380;10884;13072;7213;C;113544;36;3154.00
9995;8092;9687;6659;C;56100;60;935.00
6936;5735;6936;6175;D;290700;60;4845.00
3763;3112;3763;5610;C;123216;48;2567.00
3519;2912;3519;5563;C;380160;60;6336.00
5860;4852;5860;5989;C;213300;36;5925.00
10282;8327;9974;6698;C;247728;48;5161.00
2148;1772;2148;5312;C;202788;36;5633.00
13190;10728;12882;7189;C;154656;48;3222.00
11105;9017;10797;6816;D;100224;48;2088.00
6731;5574;6731;6137;A;44628;12;3719.00
968;808;968;5128;D;215616;48;4492.00
2966;2456;2966;5470;C;200976;48;4187.00
3670;3037;3670;5593;D;277884;36;7719.00
2392;1967;2392;5350;C;249312;48;5194.00
6299;5213;6299;6063;D;320976;48;6687.00
9196;7418;8888;6501;B;30276;12;2523.00
2843;2352;2843;5452;C;49440;60;824.00
25;19;25;4961;B;30276;12;2523.00
78;67;78;4973;A;165960;24;6915.00
7010;5794;7010;6190;C;123600;60;2060.00
10389;8411;10081;6715;C;220620;60;3677.00
5384;4462;5384;5892;B;66480;24;2770.00
9427;7614;9119;6550;C;320592;48;6679.00
4352;3608;4352;5706;C;161496;36;4486.00
1133;940;1133;5148;C;284280;60;4738.00
10543;8547;10235;6734;C;173016;36;4806.00
6544;5422;6544;6109;C;368880;60;6148.00
11873;9645;11565;6961;C;176148;36;4893.00
11093;9006;10785;6810;C;186384;48;3883.00
3103;2572;3103;5494;C;360000;48;7500.00
2141;1766;2141;5311;C;30060;60;501.00
2809;2322;2809;5445;A;46320;24;1930.00
2063;1698;2063;5301;C;141948;36;3943.00
12303;10001;11995;7034;C;19044;36;529.00
10702;8680;10394;6751;C;85716;36;2381.00
10040;8127;9732;6667;A;155880;24;6495.00
6691;5541;6691;6130;C;32640;48;680.00
2746;2268;2746;5429;C;20196;36;561.00
4434;3679;4434;5725;C;444864;48;9268.00
6077;5033;6077;6019;A;11400;12;950.00
8432;6985;8432;6421;C;96768;36;2688.00
12050;9790;11742;6992;C;133968;48;2791.00
1020;846;1020;5136;A;187104;24;7796.00
2288;1886;2288;5337;C;162468;36;4513.00
3113;2580;3113;5495;C;89340;60;1489.00
12220;9928;11912;7013;C;89340;60;1489.00
6033;4994;6033;6012;C;258444;36;7179.00
8670;7184;8670;6471;A;155640;24;6485.00
7678;6358;7678;6296;C;270384;48;5633.00
13968;11359;13660;7305;A;54024;12;4502.00
6753;5593;6753;6144;A;44376;12;3698.00
7594;6289;7594;6283;C;85632;48;1784.00
13590;11054;13282;7246;C;148920;60;2482.00
655;544;655;5088;A;91152;24;3798.00
5858;4851;5858;5988;A;141648;24;5902.00
1917;1583;1917;5282;D;388512;48;8094.00
5606;4650;5606;5938;C;402000;60;6700.00
3730;3084;3730;5606;D;253512;36;7042.00
2592;2143;2592;5385;C;71460;36;1985.00
11327;9199;11019;6865;B;29448;12;2454.00
3616;2994;3616;5586;C;48744;36;1354.00
7723;6397;7723;6302;C;181020;60;3017.00
13231;10762;12923;7194;C;68832;36;1912.00
8615;7136;8615;6461;C;74124;36;2059.00
10528;8533;10220;6732;C;174048;48;3626.00
9798;7926;9490;6613;A;84120;24;3505.00
12325;10019;12017;7036;C;194940;36;5415.00
5399;4476;5399;5897;A;15192;24;633.00
12079;9814;11771;6995;A;96168;12;8014.00
2708;2236;2708;5415;D;139464;36;3874.00
12840;10436;12532;7136;C;54396;36;1511.00
13750;11186;13442;7271;C;392460;60;6541.00
2550;2106;2550;5375;A;101520;12;8460.00
3907;3230;3907;5635;C;77184;36;2144.00
11114;9024;10806;6817;C;70656;48;1472.00
5526;4585;5526;5923;C;64656;48;1347.00
2259;1862;2259;5329;C;396120;60;6602.00
9930;8039;9622;6644;A;93600;24;3900.00
8076;6688;8076;6354;C;22968;36;638.00
603;501;603;5082;C;262980;60;4383.00
9641;7795;9333;6585;C;372120;60;6202.00
11596;9422;11288;6921;A;86184;12;7182.00
2501;2062;2501;5366;A;86184;12;7182.00
5364;4447;5364;5886;C;192744;36;5354.00
4529;3754;4529;5741;A;68544;24;2856.00
158;132;158;4996;A;88440;12;7370.00
6042;5001;6042;6015;A;110112;24;4588.00
7765;6434;7765;6309;A;110136;24;4589.00
6359;5263;6359;6073;C;276300;60;4605.00
5977;4948;5977;6006;C;359760;60;5996.00
3767;3115;3767;5611;C;321180;60;5353.00
11754;9548;11446;6944;C;46176;48;962.00
12662;10297;12354;7101;C;421008;48;8771.00
9717;7859;9409;6599;A;72120;12;6010.00
11709;9510;11401;6940;C;228276;36;6341.00
1509;1250;1509;5209;C;182640;48;3805.00
2606;2153;2606;5388;A;61560;12;5130.00
6015;4981;6015;6011;C;179328;48;3736.00
3649;3021;3649;5591;C;155616;48;3242.00
12943;10520;12635;7154;C;417600;60;6960.00
12810;10411;12502;7130;A;123408;24;5142.00
11121;9030;10813;6818;C;155616;48;3242.00
3855;3189;3855;5625;D;222180;60;3703.00
11050;8972;10742;6805;C;45024;48;938.00
13480;10963;13172;7233;C;115812;36;3217.00
13971;11362;13663;7308;A;129408;24;5392.00
5395;4473;5395;5895;C;93960;60;1566.00
12756;10365;12448;7122;D;260640;36;7240.00
6922;5724;6922;6173;C;232560;48;4845.00
6749;5591;6749;6142;C;221880;60;3698.00
2451;2018;2451;5358;A;38520;12;3210.00
6469;5358;6469;6095;C;68340;60;1139.00
11381;9242;11073;6878;A;23184;12;1932.00
9457;7637;9149;6554;C;390096;48;8127.00
11004;8931;10696;6793;C;186300;60;3105.00
13852;11271;13544;7286;C;67320;36;1870.00
6366;5269;6366;6076;C;117420;60;1957.00
992;825;992;5134;A;53076;12;4423.00
2720;2246;2720;5419;C;415800;60;6930.00
7435;6158;7435;6255;D;247920;48;5165.00
4055;3353;4055;5656;C;146064;24;6086.00
11686;9494;11378;6934;A;116832;12;9736.00
6122;5072;6122;6028;C;317520;60;5292.00
8764;7262;8764;6490;C;73260;60;1221.00
8392;6950;8392;6415;C;475680;48;9910.00
12561;10215;12253;7087;C;44304;24;1846.00
2721;2247;2721;5420;C;72504;24;3021.00
5801;4803;5801;5977;C;59136;48;1232.00
11149;9052;10841;6824;D;71976;24;2999.00
1501;1244;1501;5207;C;35904;48;748.00
12738;10351;12430;7115;C;88704;48;1848.00
13608;11069;13300;7250;C;119136;48;2482.00
6001;4969;6001;6010;C;150180;60;2503.00
6422;5317;6422;6088;C;90180;36;2505.00
4177;3455;4177;5682;A;67464;12;5622.00
13285;10807;12977;7201;A;67464;12;5622.00
11701;9504;11393;6938;C;341280;60;5688.00
11371;9235;11063;6875;C;83280;48;1735.00
5684;4715;5684;5953;C;97176;24;4049.00
5642;4681;5642;5942;C;162624;48;3388.00
2581;2134;2581;5382;C;22932;36;637.00
8200;6792;8200;6377;A;17184;12;1432.00
5565;4618;5565;5931;D;66696;24;2779.00
5873;4863;5873;5992;A;76080;12;6340.00
4861;4033;4861;5790;C;84288;48;1756.00
10714;8688;10406;6753;A;67980;12;5665.00
9505;7674;9197;6562;C;94488;24;3937.00
12358;10049;12050;7046;A;91632;12;7636.00
5253;4361;5253;5868;A;90156;12;7513.00
4786;3967;4786;5784;D;84600;36;2350.00
5322;4415;5322;5878;A;74040;12;6170.00
810;675;810;5110;C;102240;60;1704.00
1511;1252;1511;5210;C;148140;36;4115.00
13468;10954;13160;7230;C;18720;60;312.00
215;176;215;5005;A;27456;12;2288.00
11359;9225;11051;6871;C;164256;48;3422.00
2489;2051;2489;5363;D;293880;60;4898.00
13620;11079;13312;7253;A;98304;12;8192.00
6257;5181;6257;6055;C;399120;60;6652.00
568;472;568;5072;D;196800;24;8200.00
11545;9377;11237;6913;C;99936;24;4164.00
8276;6856;8276;6386;C;124344;36;3454.00
3906;3229;3906;5634;A;39024;12;3252.00
4652;3859;4652;5758;D;307200;60;5120.00
11123;9031;10815;6819;C;50112;24;2088.00
12586;10233;12278;7088;C;239160;60;3986.00
383;314;383;5039;C;66840;24;2785.00
3326;2754;3326;5532;C;335280;48;6985.00
6175;5118;6175;6037;C;53232;48;1109.00
7862;6510;7862;6322;C;76992;24;3208.00
11405;9263;11097;6887;A;39576;12;3298.00
9997;8094;9689;6660;C;220428;36;6123.00
2841;2350;2841;5451;C;159744;48;3328.00
6039;4999;6039;6014;C;165168;36;4588.00
3471;2872;3471;5556;C;268320;60;4472.00
8030;6649;8030;6346;C;100260;60;1671.00
5171;4293;5171;5850;C;164196;36;4561.00
5618;4660;5618;5940;C;106944;24;4456.00
12750;10361;12442;7119;A;86880;12;7240.00
1755;1447;1755;5253;C;100080;48;2085.00
11250;9138;10942;6851;D;272220;60;4537.00
10273;8320;9965;6695;C;309660;60;5161.00
11516;9353;11208;6908;C;188616;24;7859.00
13640;11096;13332;7255;C;213300;60;3555.00
4132;3418;4132;5674;C;207264;48;4318.00
7567;6265;7567;6278;C;87360;24;3640.00
3038;2516;3038;5486;C;466608;48;9721.00
1311;1093;1311;5174;C;385104;48;8023.00
9833;7957;9525;6621;A;42900;12;3575.00
7796;6461;7796;6313;C;150912;36;4192.00
8502;7045;8502;6435;C;288720;48;6015.00
11911;9677;11603;6970;C;31620;60;527.00
7772;6440;7772;6310;A;34572;12;2881.00
5574;4626;5574;5932;A;33348;12;2779.00
11379;9241;11071;6877;C;285240;60;4754.00
10813;8772;10505;6763;C;88272;48;1839.00
12547;10202;12239;7085;C;305424;48;6363.00
12376;10063;12068;7049;C;233424;36;6484.00
11857;9633;11549;6959;D;59448;24;2477.00
1533;1270;1533;5214;C;74772;36;2077.00
8064;6678;8064;6350;C;294384;48;6133.00
533;442;533;5063;D;357840;48;7455.00
389;319;389;5041;C;369000;60;6150.00
631;525;631;5086;C;210384;48;4383.00
11713;9513;11405;6942;A;18324;12;1527.00
1852;1528;1852;5270;C;191088;48;3981.00
10355;8381;10047;6705;D;333648;48;6951.00
12382;10068;12074;7051;A;77808;12;6484.00
10777;8742;10469;6758;A;33144;12;2762.00
7411;6138;7411;6249;C;67608;24;2817.00
4937;4099;4937;5808;C;41856;48;872.00
2560;2116;2560;5377;A;92400;12;7700.00
2822;2334;2822;5446;C;48312;24;2013.00
5203;4320;5203;5856;B;51360;12;4280.00
116;97;116;4986;A;102876;12;8573.00
12133;9859;11825;7001;C;300600;60;5010.00
10090;8169;9782;6677;C;97980;60;1633.00
10023;8114;9715;6665;C;99300;60;1655.00
4968;4127;4968;5817;D;100800;24;4200.00
11976;9730;11668;6984;C;116040;60;1934.00
9370;7565;9062;6541;C;153504;48;3198.00
861;718;861;5117;A;76944;12;6412.00
6473;5362;6473;6097;C;202848;48;4226.00
2621;2165;2621;5389;C;78600;24;3275.00
13405;10905;13097;7219;C;57120;48;1190.00
7959;6592;7959;6338;C;390660;60;6511.00
11598;9424;11290;6922;C;83628;36;2323.00
2503;2064;2503;5367;C;83628;36;2323.00
3929;3249;3929;5638;A;68124;12;5677.00
5050;4190;5050;5830;C;405780;60;6763.00
2291;1888;2291;5338;B;57360;12;4780.00
5978;4949;5978;6007;C;289920;48;6040.00
9775;7907;9467;6612;A;97392;12;8116.00
4386;3637;4386;5718;A;14028;12;1169.00
6511;5395;6511;6104;C;158184;36;4394.00
1608;1329;1608;5229;A;23520;12;1960.00
9846;7966;9538;6625;D;473280;60;7888.00
1499;1242;1499;5206;C;128544;24;5356.00
5727;4746;5727;5963;C;204780;60;3413.00
132;110;132;4990;C;162576;36;4516.00
9914;8026;9606;6641;C;128268;36;3563.00
2522;2080;2522;5369;C;214596;36;5961.00
7065;5837;7065;6196;C;177804;36;4939.00
1662;1374;1662;5236;C;389136;48;8107.00
4417;3664;4417;5719;C;271584;48;5658.00
3962;3273;3962;5643;B;94512;12;7876.00
12378;10065;12070;7050;C;311232;48;6484.00
8089;6699;8089;6355;C;127200;48;2650.00
10209;8268;9901;6688;C;8616;24;359.00
7348;6083;7348;6239;D;360864;48;7518.00
3324;2753;3324;5531;C;66432;24;2768.00
6571;5445;6571;6113;C;78696;36;2186.00
13134;10679;12826;7181;C;197808;24;8242.00
6610;5477;6610;6118;C;349392;48;7279.00
13694;11141;13386;7264;A;44940;12;3745.00
2316;1906;2316;5343;C;44952;24;1873.00
458;378;458;5051;C;230400;60;3840.00
4754;3942;4754;5779;C;107352;36;2982.00
9755;7890;9447;6605;C;79344;48;1653.00
9987;8085;9679;6655;D;260400;60;4340.00
9340;7542;9032;6534;C;590820;60;9847.00
4169;3448;4169;5681;C;68664;24;2861.00
9760;7894;9452;6607;C;153144;36;4254.00
7366;6097;7366;6242;C;26208;36;728.00
13556;11027;13248;7242;C;48096;24;2004.00
13803;11231;13495;7277;A;89280;12;7440.00
10075;8158;9767;6675;C;238716;36;6631.00
2647;2187;2647;5398;A;53472;12;4456.00
5699;4725;5699;5956;C;168264;36;4674.00
4474;3711;4474;5731;D;460980;60;7683.00
11855;9631;11547;6956;C;59448;24;2477.00
8510;7052;8510;6437;D;63972;36;1777.00
2823;2335;2823;5447;D;541200;60;9020.00
5774;4784;5774;5973;C;219456;48;4572.00
6363;5267;6363;6075;D;129312;24;5388.00
1913;1580;1913;5281;C;194256;24;8094.00
798;666;798;5103;A;12540;12;1045.00
8661;7176;8661;6468;C;203940;60;3399.00
13346;10857;13038;7209;D;385560;60;6426.00
3606;2986;3606;5584;C;24792;24;1033.00
124;103;124;4988;D;265320;36;7370.00
9202;7424;8894;6502;A;30276;12;2523.00
4024;3329;4024;5651;A;19248;12;1604.00
31;25;31;4962;A;30276;12;2523.00
5232;4342;5232;5862;C;100128;24;4172.00
13261;10789;12953;7199;A;45768;12;3814.00
10492;8505;10184;6727;A;42840;12;3570.00
13820;11244;13512;7279;C;155760;24;6490.00
9403;7594;9095;6544;C;130464;48;2718.00
5579;4631;5579;5933;C;87528;24;3647.00
9582;7745;9274;6574;C;77544;36;2154.00
8333;6902;8333;6399;C;49320;36;1370.00
13172;10711;12864;7187;C;24180;60;403.00
8074;6686;8074;6353;C;116496;24;4854.00
414;339;414;5043;C;468060;60;7801.00
2952;2445;2952;5469;C;293160;60;4886.00
5788;4794;5788;5976;D;465504;48;9698.00
6275;5196;6275;6059;A;79824;12;6652.00
4882;4052;4882;5799;C;106128;36;2948.00
6764;5602;6764;6147;C;177504;48;3698.00
7434;6157;7434;6254;C;247920;48;5165.00
12643;10280;12335;7100;C;348120;60;5802.00
12890;10478;12582;7147;C;267600;48;5575.00
5487;4550;5487;5909;C;61320;60;1022.00
12328;10022;12020;7037;C;218064;48;4543.00
4768;3953;4768;5782;C;63576;12;5298.00
7339;6075;7339;6237;D;407952;48;8499.00
9450;7632;9142;6552;C;170448;48;3551.00
12468;10134;12160;7067;C;136368;24;5682.00
2205;1819;2205;5320;C;143676;36;3991.00
5563;4616;5563;5930;C;66696;24;2779.00
8737;7240;8737;6486;C;152160;60;2536.00
1705;1407;1705;5245;C;125472;24;5228.00
9929;8038;9621;6643;C;35856;24;1494.00
1793;1480;1793;5260;C;123300;36;3425.00
3546;2936;3546;5569;C;504000;60;8400.00
12729;10345;12421;7110;C;31260;12;2605.00
12850;10445;12542;7139;C;23412;12;1951.00
10997;8926;10689;6791;C;566640;60;9444.00
2470;2035;2470;5360;C;176328;36;4898.00
1985;1638;1985;5287;C;64224;24;2676.00
9456;7636;9148;6553;C;42384;12;3532.00
12485;10148;12177;7072;C;22104;12;1842.00
6196;5133;6196;6044;C;57060;12;4755.00
2267;1869;2267;5332;C;37944;36;1054.00
11329;9201;11021;6866;C;122472;24;5103.00
9880;7997;9572;6633;C;160656;24;6694.00
11637;9455;11329;6926;C;374760;60;6246.00
8548;7082;8548;6442;C;194160;48;4045.00
5376;4456;5376;5889;C;321240;60;5354.00
4672;3875;4672;5765;C;153936;24;6414.00
939;785;939;5124;C;156096;36;4336.00
3072;2545;3072;5491;C;428784;48;8933.00
10517;8523;10209;6730;C;93036;12;7753.00
12908;10493;12600;7151;C;133800;24;5575.00
1051;873;1051;5140;C;178500;60;2975.00
13095;10650;12787;7171;C;196224;48;4088.00
9546;7713;9238;6568;C;220440;60;3674.00
11304;9179;10996;6861;C;215040;60;3584.00
11266;9153;10958;6855;C;52236;36;1451.00
12802;10404;12494;7129;C;194280;60;3238.00
2590;2142;2590;5384;C;23328;12;1944.00
11286;9167;10978;6859;C;272220;60;4537.00
4710;3906;4710;5772;C;334620;60;5577.00
4099;3390;4099;5665;C;40632;12;3386.00
8777;7274;8777;6495;C;49044;12;4087.00
530;440;530;5061;C;84288;48;1756.00
11768;9560;11460;6948;C;157068;36;4363.00
4712;3907;4712;5773;C;133848;24;5577.00
6235;5164;6235;6052;C;22356;36;621.00
10159;8225;9851;6682;D;36204;12;3017.00
6408;5305;6408;6083;C;240528;48;5011.00
11874;9646;11566;6962;C;279072;48;5814.00
1208;1004;1208;5158;C;188532;36;5237.00
8636;7156;8636;6464;C;49488;24;2062.00
1300;1083;1300;5172;C;50976;36;1416.00
3601;2982;3601;5582;C;41256;12;3438.00
6729;5572;6729;6136;C;140880;60;2348.00
7325;6062;7325;6235;C;321360;60;5356.00
9217;7437;8909;6508;C;110736;48;2307.00
46;38;46;4968;C;110736;48;2307.00
9872;7990;9564;6632;C;144960;48;3020.00
13246;10774;12938;7195;C;339168;48;7066.00
3284;2720;3284;5525;C;93888;36;2608.00
